Segment	Phoneme	Notes
ɔ̟̜ː	ɔ̟̜ː	NA
ɔ̤ː	ɔ̤ː	NA
ɔ̰ː	ɔ̰ː	NA
ɔa	ɔa	NA
ɔaː	ɔaː	NA
ɔe	ɔe	NA
ɔi	ɔi	NA
ɔi̯	ɔi̯	NA
ɔɪ	ɔɪ	NA
ɔu	ɔu	NA
ɔu̯	ɔu̯	NA
ɔʊ	ɔʊ	NA
ɔʊ̯	ɔʊ̯	NA
ɔ̃ʊ̯̃	ɔ̃ʊ̯̃	NA
ɔw	ɔu̯	conventionalized
ɔy̯ː	ɔy̯ː	NA
ɔʏ	ɔʏ	NA
ɔˤː	ɔːˤ	NA
ɵ	ɵ	NA
ɵ̆	ɵ̆	NA
ɵ̃	ɵ̃	NA
ɵ̟	ɵ̟	NA
ɵ̞	ɵ̞	NA
ɵ̞̰	ɵ̰̞	NA
ɵː	ɵː	NA
ɵ̟ː	ɵː	conventionalized; TODO: investigate
ɵ̞ː	ɵ̞ː	NA
ɵə	ɵə	NA
ɵy	ɵy	NA
p	p	NA
p˞	p˞	NA
pː	pː	NA
pːʰ	pːʰ	NA
pf	pf	NA
pˠ	pˠ	NA
pˠʰ	pʰˠ	NA
pʰ	pʰ	NA
pʰ˞	p˞ʰ	NA
pʰʲ	pʰʲ	conventionalized
pʰʷ	pʰʷ	NA
pʰˤ	pʰˤ	NA
pʲ	pʲ	NA
pʲː	pːʲ	NA
pʲʰ	pʰʲ	NA
pʷ	pʷ	NA
pʼ	pʼ	NA
pʼʲ	pʲʼ	conventionalized
pʼʷ	pʷʼ	NA
pˤ	pˤ	NA
ɸ	ɸ	NA
q	q	NA
q̺	q̺	NA
qː	qː	NA
qːʷ	qːʷ	NA
qʰ	qʰ	NA
qʰʲ	qʰʲ	new segment type added
qʰʷ	qʰʷ	conventionalized
qʰʷʲ	qʰʲʷ	new segment type added
qʲ	qʲ	new segment type added
qʲʼ	qʲʼ	conventionalized
qʷ	qʷ	NA
qʷʰ	qʰʷ	NA
qʷʲ	qʲʷ	new segment type added
qʷʼ	qʷʼ	NA
qʼ	qʼ	NA
qʼː	qːʼ	NA
qʼːʷ	qːʷʼ	NA
qʼʲ	qʲʼ	new segment type added
qʼʷ	qʷʼ	NA
qʼʷʲ	qʲʷʼ	new segment type added
qˤ	qˤ	NA
qˤʼ	qˤʼ	NA
qχ	qχ	NA
qχːʰ	qχːʰ	NA
qχːʼ	qχːʼ	NA
qχʰ	qχʰ	NA
qχʼ	qχʼ	NA
r	r	NA
r̪	r̪	NA
r̺	r̺	NA
r̝	r̝	NA
r̩	r̩	NA
r̺̥	r̺̥	NA
r̥	r̥	NA
rː	rː	NA
r̥ː	r̥ː	NA
rʰ	rʰ	NA
rʱ	rʱ	NA
rʲ	rʲ	NA
r̺ʲ	r̺ʲ	new segment type added
r̥ʲ	r̥ʲ	NA
rʲː	rːʲ	NA
r̥ʲː	r̥ːʲ	NA
rˤ	rˤ	NA
ʀ	ʀ	NA
ɹ	ɹ	NA
ɹ̺	ɹ̺	NA
ɹ̥	ɹ̥	NA
ɺ	ɺ	NA
ɻ	ɻ	NA
ɻ̊	ɻ̊	NA
ɽ	ɽ	NA
ɽ̊	ɽ̊	NA
ɽ̃	ɽ̃	NA
ɽʰ	ɽʰ	NA
ɽʱ	ɽʱ	NA
ɽ̤ʱ	ɽ̤ʱ	NA
ɾ	ɾ	NA
ɾ̠	ɾ̠	NA
ɾ̪	ɾ̪	NA
ɾ̞	ɾ̞	NA
ɾ̻	ɾ̻	NA
ɾ̺	ɾ̺	NA
ɾ̥	ɾ̥	NA
ɾˠ	ɾˠ	NA
ɾ̪ˠ	ɾ̪ˠ	NA
ɾʲ	ɾʲ	NA
ɾ̪ʲ	ɾ̪ʲ	NA
ɾ̥ʲ	ɾ̥ʲ	NA
ɿ	ɹ̪̩	NA
ɿ̰	ɹ̪̰̩	NA
ɿ̹	ɹ̪̹̩	NA
ɿˠ	ɹ̪̩ˠ	NA
ʁ	ʁ	NA
ʁ̞	ʁ̞	NA
ʁː	ʁː	NA
ʁʲ	ʁʲ	new segment type added
ʁʷ	ʁʷ	NA
ʁˤ	ʁˤ	NA
s	s	NA
ŝ	ʆ	Ladefoged & Maddieson 1996:138: laminal closed postalevolar sibilants
s̻	s̻	NA
s̪	s̪	NA
s͇	s͇	NA
s̺	s̺	NA
s̠	s̠	NA
s̩	s̩	NA
s̺̠	s̺̠	NA
s̪̻	s̪̻	NA
s̠̻	s̻̠	NA
sː	sː	NA
s̺ː	s̺ː	NA
s̪ː	s̪ː	NA
sːʼ	sːʼ	NA
sˠ	sˠ	NA
sʰ	sʰ	NA
sʲ	sʲ	NA
s̪ʲ	s̪ʲ	NA
sʲː	sːʲ	NA
sʲʰ	sʰʲ	NA
sʷ	sʷ	NA
ŝʷ	ʆʷ	Ladefoged & Maddieson 1996:138: laminal closed postalevolar sibilants
s̪ʷ	s̪ʷ	NA
s̪ʷʲ	s̪ʲʷ	new segment type added
sʼ	sʼ	NA
ŝʼ	ʆʼ	NA
ŝʼʷ	ʆʷʼ	NA
sˤ	sˤ	NA
s̪ˤ	s̪ˤ	NA
ʂ	ʂ	NA
ʂ̻	ʂ̻	NA
ʂː	ʂː	NA
ʂʰ	ʂʰ	NA
ʃ	ʃ	NA
ʃ̺	ʃ̺	NA
ʃ̞	ʃ̞	NA
ʃː	ʃː	NA
ʃːʲ	ʃːʲ	NA
ʃːʷ	ʃːʷ	NA
ʃːʼ	ʃːʼ	NA
ʃʰ	ʃʰ	NA
ʃʲ	ʃʲ	NA
ʃʷ	ʃʷ	NA
ʃʼ	ʃʼ	NA
ʃ̞ʼ	ʃ̞ʼ	NA
ʅ	ɻ̩	NA
ʅ̹	ɻ̹̩	NA
t	t	NA
t̪	t̪	NA
t̺	t̺	NA
t̻	t̻	NA
t̪̺	t̪̺	NA
t̪̻	t̪̻	NA
t̺̪	t̪̺	NA
tː	tː	NA
t̪ː	t̪ː	NA
tɕ	tɕ	NA
t̻ɕ̻	t̻ɕ̻	NA
t̺ɕ̺	t̺ɕ̺	NA
tɕː	tɕː	NA
tɕʰ	tɕʰ	NA
t̻ɕ̻ʰ	t̻ɕ̻ʰ	NA
tɕʼ	tɕʼ	NA
t̺ɕ̺ʼ	t̺ɕ̺ʼ	NA
t̪ˠ	t̪ˠ	NA
t̪ˠʰ	t̪ʰˠ	NA
tʰ	tʰ	NA
t̺ʰ	t̺ʰ	new segment type added
t̻ʰ	t̻ʰ	NA
t̪ʰ	t̪ʰ	NA
tʰʲ	tʰʲ	NA
t̪ʰʲ	t̪ʰʲ	conventionalized
tʰʷ	tʰʷ	NA
t̪ʰʷ	t̪ʰʷ	conventionalized
t̪ʰʷʲ	t̪ʰʲʷ	new segment type added
t̪ʰˤ	t̪ʰˤ	NA
tʲ	tʲ	NA
t̪ʲ	t̪ʲ	NA
t̠ʲ	t̠ʲ	NA
tʲʰ	tʰʲ	NA
t̪ɬ	t̪ɬ	NA
tɬː	tɬː	NA
tɬːʰ	tɬːʰ	NA
tɬːʼ	tɬːʼ	NA
tɬʰ	tɬʰ	NA
tɬʰʷ	tɬʰʷ	NA
tɬʼ	tɬʼ	NA
t̪ɬʼ	t̪ɬʼ	NA
tɬʼː	tɬːʼ	NA
tɬʼʷ	tɬʷʼ	NA
ts	ts	NA
tˢ	tsʰ	aspirated and strongly affricated
ts̪	ts̪	NA
ts̻	ts̻	NA
ts̺	ts̺	NA
t̪s	t̪s	NA
t̺s̺	t̺s̺	NA
t̪s̪	t̪s̪	NA
t͇s͇	t͇s͇	NA
t̻s̻	t̻s̻	NA
t̻s̻̪	t̻s̪̻	NA
t̪̻s̪̻	t̪̻s̪̻	NA
tsː	tsː	NA
t̪s̪ː	t̪s̪ː	NA
t̺s̺ː	t̺s̺ː	NA
tsːʰ	tsːʰ	NA
tsːʼ	tsːʼ	NA
tsʰ	tsʰ	NA
tŝʰ	t̠ʆʰ	Ladefoged & Maddieson 1996:138: laminal closed postalevolar sibilants
t̺s̺ʰ	t̺s̺ʰ	NA
t͇s͇ʰ	t͇s͇ʰ	NA
t̪s̪ʰ	t̪s̪ʰ	NA
t̪s̪ʰʲ	t̪s̪ʰʲ	new segment type added
tsʰʷ	tsʰʷ	NA
t̪s̪ʰʷ	t̪s̪ʰʷ	conventionalized
t̪s̪ʰʷʲ	t̪s̪ʰʲʷ	new segment type added
tsʰˤ	tsʰˤ	NA
tsʲ	tsʲ	NA
t̪ˢʲ	t̪ʲ	probably marks frication
t̪s̪ʲ	t̪s̪ʲ	NA
tsʲː	tsːʲ	NA
tŝʷ	t̠ʆʷ	NA
t̪s̪ʷ	t̪s̪ʷ	conventionalized
tŝʷʰ	t̠ʆʰʷ	Ladefoged & Maddieson 1996:138: laminal closed postalevolar sibilants
t̪s̪ʷʲ	t̪s̪ʲʷ	new segment type added
tŝʷʼ	t̠ʆʷʼ	Ladefoged & Maddieson 1996:138: laminal closed postalevolar sibilants
tsʼ	tsʼ	NA
tŝʼ	t̠ʆ	Ladefoged & Maddieson 1996:138: laminal closed postalevolar sibilants
t̪s̪ʼ	t̪s̪ʼ	NA
t̺s̺ʼ	t̺s̺ʼ	NA
tsʼː	tsːʼ	NA
t̪s̪ʼʲ	t̪s̪ʲʼ	new segment type added
tsʼʷ	tsʷʼ	NA
t̪s̪ʼʷ	t̪s̪ʷʼ	conventionalized
t̪s̪ʼʷʲ	t̪s̪ʲʷʼ	new segment type added
tʂ	ʈʂ	conventionalized
tʂʰ	ʈʂʰ	conventionalized
tʃ	t̠ʃ	NA
tʃ̺	t̠ʃ̺	NA
t̺ʃ̺	t̺ʃ̺	NA
t̻ʃ̻	t̻ʃ̻	NA
tʃː	t̠ʃː	NA
tʃːʰ	t̠ʃːʰ	NA
tʃːʲ	t̠ʃːʲ	NA
tʃːʷ	t̠ʃːʷ	NA
tʃːʼ	t̠ʃːʼ	NA
tʃʰ	t̠ʃʰ	NA
tʃ̺ʰ	t̠ʃ̺ʰ	NA
tʃʰʷ	t̠ʃʰʷ	NA
tʃʰˤ	t̠ʃʰˤ	NA
tʃʲ	t̠ʃʲ	NA
tʃʷ	t̠ʃʷ	NA
t̺ʃ̺ʷ	t̺ʃ̺ʷ	NA
tʃʷʰ	t̠ʃʰʷ	NA
tʃʼ	t̠ʃʼ	NA
tʃʼː	t̠ʃːʼ	NA
tʃʼʷ	t̠ʃʷʼ	NA
tʃʼˤ	t̠ʃˤʼ	NA
tʃˤ	t̠ʃˤ	NA
tʷ	tʷ	NA
t̪ʷ	t̪ʷ	NA
tʷʰ	tʰʷ	NA
t̪ʷʲ	t̪ʲʷ	new segment type added
tʷʼ	tʷʼ	conventionalized
tʼ	tʼ	NA
t̪ʼ	t̪ʼ	NA
t̺ʼ	t̺ʼ	NA
t̪ʼʲ	t̪ʲʼ	conventionalized
tʼʷ	tʷʼ	NA
t̪ʼʷ	t̪ʷʼ	conventionalized
t̪ʼʷʲ	t̪ʲʷʼ	new segment type added
t̪ʼˤ	t̪ˤʼ	NA
tˤ	tˤ	NA
t̪ˤ	t̪ˤ	NA
ʈ	ʈ	NA
ʈʰ	ʈʰ	NA
ʈɽ	ʈɽ	NA
ʈɽʰ	ʈɽʰ	NA
ʈʂ	ʈʂ	NA
ʈ̻ʂ̻	ʈ̻ʂ̻	NA
ʈʂʰ	ʈʂʰ	NA
ʈʂʼ	ʈʂʼ	NA
u	u	NA
ŭ	ŭ	NA
ũ	ũ	NA
u̞	u̞	NA
u̜	u̜	NA
u̯	u̯	NA
u̙	u̙	NA
u̟	u̟	NA
ũ̯	ũ̯	NA
ṳ	ṳ	NA
ṵ	ṵ	NA
u˞	u˞	NA
u˞ˤ	u˞ˤ	new segment type added
u˞ˤː	u˞ːˤ	new segment type added
uː	uː	NA
uː̃	ũː	NA
ũː	ũː	NA
ṳ̃ː	ṳ̃ː	NA
u̞ː	u̞ː	NA
ṵː	ṵː	NA
uːe	uːe	NA
uːə	uːə	NA
uːʌ	uːʌ	NA
u̞ˑ	u̞ˑ	NA
ua	ua	NA
uä	uä	NA
uã	uã	NA
ua̟	ua̟	NA
ũã	ũã	NA
u̯a	u̯a	NA
uæ	uæ	NA
uai	uai	NA
uɐ	uɐ	NA
uɑ	uɑ	guess
uɑ̃	uɑ̃	NA
u̯ɑ	u̯ɑ	NA
uɑ˞	uɑ˞	NA
uɑi	uɑi	NA
ue	ue	NA
uẽ	uẽ	NA
ue̞	ue̞	NA
uei	uei	NA
uə	uə	NA
uə̯	uə̯	NA
uəi	uəi	new segment type added
uɛ	uɛ	NA
uɛ̃	uɛ̃	NA
uɜ	uɜ	NA
ui	ui	NA
ui̯	ui̯	NA
ũĩ	ũĩ	NA
uj	ui̯	conventionalized
uo	uo	NA
uo̞	uo̞	NA
ũo	ũo	NA
u̯o	u̯o	NA
u̯õ	u̯õ	NA
uoː	uoː	NA
ũoː	ũoː	NA
uœ	uœ	NA
uɔ	uɔ	NA
u̯ɔ	u̯ɔ	NA
uɔː	uɔː	NA
ũɔ̃ː	ũɔ̃ː	NA
uu̯	uu̯	NA
u̠u	u̠u	NA
uʌ	uʌ	NA
uˤ	uˤ	NA
uˤː	uːˤ	NA
ʉ	ʉ	NA
ʉ̃	ʉ̃	NA
ʉ̞	ʉ̞	NA
ʉ̟	ʉ̟	NA
ʉ̰	ʉ̰	NA
ʉː	ʉː	NA
ʉ̃ː	ʉ̃ː	NA
ʉ̟ː	ʉ̟ː	NA
ʉɞ̠	ʉɞ̠	NA
ʉi̯	ʉi̯	NA
ʉœ̠	ʉœ̠	NA
ʉu	ʉu	NA
ɥ	ɥ	NA
ɥ̊	ɥ̊	NA
ɥˤ	ɥˤ	new segment type added
ɯ	ɯ	NA
ɯ̃	ɯ̃	NA
ɯ̽	ɯ̽	NA
ɯ̞	ɯ̞	NA
ɯ̝	ɯ̝	NA
ɯ̟	ɯ̟	NA
ɯ̙	ɯ̙	NA
ɯ̤	ɯ̤	NA
ɯ̰	ɯ̰	NA
ɯː	ɯː	NA
ɯ̃ː	ɯ̃ː	NA
ɯ̽ː	ɯ̽ː	NA
ɯ̰̽ː	ɯ̰̽ː	NA
ɯˑ	ɯˑ	NA
ɯa	ɯa	NA
ɯɑ	ɯɑ	NA
ɯə	ɯə	NA
ɯ̙i̯	ɯ̙i̯	NA
ɯɪ̯	ɯɪ̯	NA
ɯo	ɯo	NA
ɰ	ɰ	NA
ʊ	ʊ	NA
ʊ̆	ʊ̆	NA
ʊ̈	ʊ̈	NA
ʊ̞̈	ʊ̞̈	NA
ʊ̜̈	ʊ̜̈	NA
ʊ̃	ʊ̃	NA
ʊ̞	ʊ̞	NA
ʊ̯	ʊ̯	NA
ʊ̜	ʊ̜	NA
ʊ̰	ʊ̰	NA
ʊː	ʊː	NA
ʊ̃ː	ʊ̃ː	NA
ʊa	ʊa	NA
ʊə	ʊə	NA
ʊi	ʊi	NA
ʊ̈i	ʊ̈i	NA
ʊɪ	ʊɪ	NA
ʊ̯ɔ	ʊ̯ɔ	NA
ʊˤː	ʊːˤ	NA
v	v	NA
v̩	v̩	NA
v̥	v̥	NA
vː	vː	NA
vˠ	vˠ	NA
vʲ	vʲ	NA
vˤ	vˤ	NA
ʋ	ʋ	NA
ʋ̩	ʋ̩	NA
ʋʲ	ʋʲ	NA
ʌ	ʌ	NA
ʌ̃	ʌ̃	NA
ʌ̤	ʌ̤	NA
ʌː	ʌː	NA
ʌ̤ː	ʌ̤ː	NA
ʌj	ʌy	guess
ʌu	ʌu	NA
ʌw	ʌɯ	guess
ʌˤː	ʌːˤ	NA
w	w	NA
w̜	w̜	NA
w̥	w̥	NA
wa	u̯a	conventionalized
wã	u̯ã	conventionalized
waː	u̯aː	conventionalized
wæi	u̯æi	conventionalized
wai	u̯ai	conventionalized
ʷd	ʷd	NA
we	u̯e	conventionalized
wei̯	u̯ei̯	conventionalized
weu̯	u̯eu̯	conventionalized
wə	u̯ə	conventionalized
wə̃	u̯ə̃	conventionalized
wɛ	u̯ɛ	NA
wɛ̃	u̯ɛ̃	conventionalized
wɛi	u̯ɛi	conventionalized
wɛi̯	u̯ɛi̯	conventionalized
wʰ	wʰ	NA
wi	u̯i	NA
wʲ	wʲ	NA
w̜ʲ	w̜ʲ	NA
ʷɟ	ʷɟ	NA
ʷl	ʷl	NA
ʷm	ʷm	NA
wo	u̯o	conventionalized
wõ	u̯õ	conventionalized
woː	u̯oː	conventionalized
wõː	u̯õː	conventionalized
wɔ	u̯ɔ	conventionalized
wɔ̃	u̯ɔ̃	conventionalized
wɔː	u̯ɔː	conventionalized
ʷr	ʷr	NA
ʷz	ʷz	NA
ʷʐ	ʷʐ	NA
ʷʑ	ʷʑ	NA
ʍ	ʍ	NA
x	x	NA
x̠	x̠	NA
xː	xː	NA
xːʷ	xːʷ	NA
xʰ	xʰ	NA
xʲ	xʲ	NA
xʲː	xːʲ	NA
xk	xk	NA
xʷ	xʷ	NA
y	y	NA
ỹ	ỹ	NA
y̠	y̠	NA
y̞	y̞	NA
y̤	y̤	NA
y̰	y̰	NA
yː	yː	NA
ỹː	ỹː	NA
y̰ː	y̰ː	NA
yˑ	yˑ	NA
ya	ya	NA
yæ	yæ	NA
ye	ye	NA
yə	yə	NA
yə̯	yə̯	NA
yɛ	yɛ	NA
yɜ	yɜ	NA
yi	yi	NA
yĩ	yĩ	NA
yi̯	yi̯	NA
yo	yo	NA
yø	yø	NA
yø̞	yø̞	NA
y̯ø	y̯ø	NA
yœ	yœ	NA
ỹœ	ỹœ	NA
yœː	yœː	NA
ỹœː	ỹœː	NA
yu	yu	NA
yu̯	yu̯	NA
ʏ	ʏ	NA
ʏ̃	ʏ̃	NA
ʏː	ʏː	NA
ʏ̃ː	ʏ̃ː	NA
ʏi̯	ʏi̯	NA
z	z	NA
ẑ	ʓ	Ladefoged & Maddieson 1996:138: laminal closed postalevolar sibilants
z̩	z̩	NA
z͇	z͇	NA
z̠	z̠	NA
z̻	z̻	NA
z̪	z̪	NA
z̺	z̺	NA
z̪̻	z̪̻	NA
z̥	z̥	NA
zː	zː	NA
zʲ	zʲ	NA
z̪ʲ	z̪ʲ	NA
zʲː	zːʲ	NA
zʷ	zʷ	NA
ẑʷ	ʓʷ	Ladefoged & Maddieson 1996:138: laminal closed postalevolar sibilants
z̪ʷ	z̪ʷ	NA
zˤ	zˤ	NA
z̪ˤ	z̪ˤ	NA
ʐ	ʐ	NA
ʐ̻	ʐ̻	NA
ʐʲ	ʐʲ	NA
ʑ	ʑ	NA
ʒ	ʒ	NA
ʒ̊	ʒ̊	NA
ʒ̩	ʒ̩	NA
ʒ̺	ʒ̺	NA
ʒːʲ	ʒːʲ	NA
ʒʲ	ʒʲ	NA
ʒʷ	ʒʷ	NA
ʒˤ	ʒˤ	NA
ʔ	ʔ	NA
ʔ̃	ʔ̃	NA
ʔː	ʔː	NA
ʔʷ	ʔʷ	NA
ʔʼ	ʔʼ	NA
ʔʼʷ	ʔʷʼ	NA
ʔˤ	ʔˤ	NA
ʼb	ʼb	NA
ʼd	ʼd	NA
ʼɡ	ʼɡ	NA
ʼɣ	ʼɣ	NA
ʼj	ʼj	NA
ʼl	ʼl	NA
ʼm	ʼm	NA
ʼn	ʼn	NA
ʼɲ	ʼɲ	NA
ʼŋ	ʼŋ	NA
ʼs	ʼs	NA
ʼʃ	ʼʃ	NA
ʼw	ʼw	NA
ʕ	ʕ	NA
ʡ	ʡ	NA
ʡˤ	ʡˤ	NA
ʢ	ʢ	NA
ʢʷ	ʢʷ	NA
β	β	NA
β̞	β̞	NA
βː	βː	NA
βʲ	βʲ	NA
βʲː	βːʲ	NA
θ	θ	NA
θ̪	θ̪	NA
θ̻	θ̻	NA
θʼ	θʼ	NA
χ	χ	NA
χː	χː	NA
χːʷ	χːʷ	NA
χːʼ	χːʼ	NA
χʲ	χʲ	new segment type added
χʷ	χʷ	NA
χʷʲ	χʲʷ	new segment type added
χˤ	χˤ	NA
χˤʷ	χˤʷ	new segment type added
