Segment	Phoneme	Notes
d̺z̺ː	d̺z̺ː	NA
dzʰ	dzʰ	NA
dzʱ	dzʱ	NA
dzʲ	dzʲ	NA
d̪ᶻʲ	d̪ʲ	probably marks frication
d̪z̪ʲ	d̪z̪ʲ	NA
d̥z̥ʲ	d̥z̥ʲ	NA
dẑʷ	d̠ʓʷ	Ladefoged & Maddieson 1996:138: laminal closed postalevolar sibilants
dʐ	ɖʐ	conventionalized
dʑ	dʑ	NA
d̻ʑ̻	d̻ʑ̻	NA
d̥ʑ̥	d̥ʑ̥	NA
dʑʰ	dʑʰ	NA
d̻ʑ̻ʱ	d̻ʑ̻ʱ	NA
dʒ	d̠ʒ	NA
d̻ʒ̻	d̻ʒ̻	NA
d̺ʒ̺	d̺ʒ̺	NA
d̥ʒ̊	d̥ʒ̊	NA
d̥ʒ̥	d̥ʒ̥	NA
dʒː	d̠ʒː	NA
dʒʰ	d̠ʒʰ	NA
dʒʱ	d̠ʒʱ	NA
d̤ʒ̤ʱ	d̤ʒ̤ʱ	NA
dʒʲ	d̠ʒʲ	NA
d̺ʒ̺ʷ	d̺ʒ̺ʷ	NA
dʼ	dʼ	NA
ðʼ	ðʼ	NA
dˤ	dˤ	NA
d̪ˤ	d̪ˤ	NA
ðˤ	ðˤ	NA
ɖ	ɖ	NA
ɖː	ɖː	NA
ɖʰ	ɖʰ	NA
ɖʱ	ɖʱ	NA
ɖ̤ʱ	ɖ̤ʱ	NA
ɖɽ	ɖɽ	NA
ɖʐ	ɖʐ	NA
ɖ̻ʐ̻	ɖ̻ʐ̻	NA
ɖ̥ʐ̥	ɖ̥ʐ̥	NA
ɗ	ɗ	NA
ᶑ	ᶑ	NA
e	e	NA
ĕ	ĕ	NA
ẽ	ẽ	NA
ẽ̞	ẽ̞	NA
e̞	e̞	NA
e̠	e̠	NA
ẽ̞	ẽ̞	NA
e̞̰	ḛ̞	NA
e̤	e̤	NA
ḛ	ḛ	NA
e˞	e˞	new segment type added
eː	eː	NA
ẽː	ẽː	NA
e̞ː	e̞ː	NA
ẽ̞ː	ẽ̞ː	NA
e̤ː	e̤ː	NA
eːi̯	eːi̯	NA
eˑ	eˑ	NA
ea	ea	NA
e̯ä	e̯ä	NA
eə	eə	NA
eɛ	eɛ	NA
ei	ei	NA
ei̯	ei̯	NA
eɪ	eɪ	NA
eɪ̃	eɪ̃	NA
ẽɪ̃	ẽɪ̃	NA
ḛɪ̰	ḛɪ̰	NA
ej	ei̯	conventionalized
ẽj	ẽi̯	conventionalized
eo	eo	NA
eu	eu	NA
eu̯	eu̯	NA
e̞u̯	e̞u̯	NA
ew	ue	guess
ə	ə	NA
ə̆	ə̆	NA
ə̃	ə̃	NA
ə̟̆	ə̟̆	NA
ə̞̆	ə̞̆	NA
ə̤	ə̤	NA
ə̰	ə̰	NA
ə̹	ə̹	NA
ə˞	ə˞	NA
ə˞ː	ə˞ː	new segment type added
əː	əː	NA
əː̃	ə̃ː	NA
ə̤̃ː	ə̤̃ː	NA
əi	əi	NA
əĩ	əĩ	NA
əi̯	əi̯	NA
ə̃ĩ	ə̃ĩ	NA
əɨ	əɨ	NA
əj	əi̯	conventionalized
əo	əo	NA
əu	əu	NA
əũ	əũ	NA
əu̯	əu̯	NA
ə̃ũ	ə̃ũ	NA
əɯ̃	əɯ̃	NA
ə̰ɯ̰	ə̰ɯ̰	NA
əʊ	əʊ	NA
əw	əu̯	conventionalized
əy	əy	NA
əˤ	əˤ	new segment type added
ɛ	ɛ	NA
ɛ̃	ɛ̃	NA
ɛ̝	ɛ̝	NA
ɛ̞	ɛ̞	NA
ɛ̠	ɛ̠	NA
ɛ̤	ɛ̤	NA
ɛ̰	ɛ̰	NA
ɛː	ɛː	NA
ɛː̃	ɛ̃ː	NA
ɛ̃ː	ɛ̃ː	NA
ɛ̤̃ː	ɛ̤̃ː	NA
ɛ̞ː	ɛː	conventionalized; TODO: investigate
ɛ̠ː	ɛ̠ː	NA
ɛ̤ː	ɛ̤ː	NA
ɛ̰ː	ɛ̰ː	NA
ɛ̃ːi̯	ɛ̃ːi̯	NA
ɛˑ	ɛˑ	NA
ɛa	ɛa	NA
ɛa̟	ɛa̟	NA
ɛ̯æː	ɛ̯æː	NA
ɛɐ	ɛɐ	NA
ɛi	ɛi	NA
ɛi̯	ɛi̯	NA
ɛ̤i̤	ɛ̤i̤	NA
ɛɪ	ɛɪ	NA
ɛo	ɛo	NA
ɛu	ɛu	NA
ɛu̯	ɛu̯	NA
ɛ̃ũ	ɛ̃ũ	NA
ɛʉ	ɛʉ	NA
ɘ	ɘ	NA
ɘ̆	ɘ̆	NA
ɘ̃	ɘ̃	NA
ɘ̟	ɘ̟	NA
ɘ̠	ɘ̠	NA
ɘː	ɘː	NA
ɜ	ɜ	NA
ɜ̹	ɜ̹	NA
ɜː	ɜː	NA
ɜ̹ː	ɜ̹ː	NA
ɜi	ɜi	NA
ɜj	ɜi̯	conventionalized
ɞ	ɞ	NA
ɞ̜	ɞ̜	NA
ɞ̠	ɞ̠	NA
ɞ̜̰	ɞ̰̜	NA
ɞ̰	ɞ̰	NA
ɞː	ɞː	NA
ɞ̜̃ː	ɞ̜̃ː	NA
ɞ̠ː	ɞ̠ː	NA
ɞ̜ː	ɞ̜ː	NA
ɞe̯	ɞe̯	NA
ɞʏ̯	ɞʏ̯	NA
ɤ	ɤ	NA
ɤ̞̆	ɤ̞̆	NA
ɤ̟	ɤ̟	NA
ɤ̞	ɤ̞	NA
ɤ̝	ɤ̝	NA
ɤ̟̹	ɤ̟̹	NA
ɤː	ɤː	NA
ɤ̟ː	ɤː	conventionalized; TODO: investigate
ɤˑ	ɤˑ	NA
ɤi	ɤi	NA
f	f	NA
f̩	f̩	NA
fː	fː	NA
fˠ	fˠ	NA
fʲ	fʲ	NA
fʲː	fːʲ	NA
fʼ	fʼ	NA
g	ɡ	NA
g̊	ɡ̊	NA
g˞	ɡ˞	NA
gː	ɡː	NA
g̊ː	ɡ̊ː	NA
gːʷ	ɡːʷ	NA
gʰ	ɡʰ	NA
gʱ	ɡʱ	NA
g̤ʱ	ɡ̤ʱ	NA
gʲ	ɡʲ	conventionalized
gʲː	ɡːʲ	NA
gʷ	ɡʷ	conventionalized
g̊ʷ	ɡ̊ʷ	NA
ɡ	ɡ	NA
ɡʲ	ɡʲ	NA
ɡʷ	ɡʷ	NA
ɢ	ɢ	NA
ɢ̥	ɢ̥	NA
ɢʁ	ɢʁ	NA
ɢʷ	ɢʷ	NA
ɠ	ɠ	NA
ɣ	ɣ	NA
ɣ̊	ɣ̊	NA
ɣʲ	ɣʲ	NA
ɣʷ	ɣʷ	NA
h	h	NA
h̃	h̃	NA
ħ	ħ	NA
ʰc	ʰc	NA
hʲ	hʲ	NA
ħ̃ʲ	ħ̃ʲ	NA
ʰk	ʰk	NA
ʰkː	ʰkː	NA
ʰkʰ	ʰkʰ	NA
ʰkʲ	ʰkʲ	NA
ʰl̥	ʰl̥	NA
ʰp	ʰp	NA
ʰpː	ʰpː	NA
ʰpʰ	ʰpʰ	NA
ʰpʲ	ʰpʲ	NA
ʰqʰ	ʰqʰ	NA
ʰsʰ	ʰsʰ	NA
ʰt	ʰt	NA
ʰtː	ʰtː	NA
ʰtɕ	ʰtɕ	NA
ʰtɕʰ	ʰtɕʰ	NA
ʰtʰ	ʰtʰ	NA
ʰtʲ	ʰtʲ	NA
ʰts	ʰts	NA
ʰtsː	ʰtsː	NA
ʰtsʰ	ʰtsʰ	NA
ʰtsʲ	ʰtsʲ	NA
ʰtʃ	ʰt̠ʃ	NA
ʰtʃː	ʰt̠ʃː	NA
ʰtʃʰ	ʰt̠ʃʰ	NA
ʰʈ	ʰʈ	NA
ʰʈʂʰ	ʰʈʂʰ	NA
hʷ	hʷ	NA
ħʷ	ħʷ	NA
ʰʷɕʰ	ʰʷɕʰ	NA
ʰʷk	ʰʷk	NA
ʰʷs	ʰʷs	NA
ʰʷsʰ	ʰʷsʰ	NA
ʰʷʂʰ	ʰʷʂʰ	NA
ʰʷt	ʰʷt	NA
ʰʷtɕ	ʰʷtɕ	NA
ʰʷts	ʰʷts	NA
ʰʷʈ	ʰʷʈ	NA
ʜ	ʜ	NA
ʜʷ	ʜʷ	NA
ɦ	ɦ	NA
ʱb	ʱb	NA
ʱd	ʱd	NA
ʱdz	ʱdz	NA
ʱdʑ	ʱdʑ	NA
ʱɖ	ʱɖ	NA
ʱɡ	ʱɡ	NA
ʱj	ʱj	NA
ʱɟ	ʱɟ	NA
ʱl	ʱl	NA
ʱm	ʱm	NA
ʱn	ʱn	NA
ʱɲ	ʱɲ	NA
ʱŋ	ʱŋ	NA
ʱz	ʱz	NA
ʱʐ	ʱʐ	NA
ɧ	ɧ	NA
i	i	NA
ĩ	ĩ	NA
i̯	i̯	new segment type added
i̘	i̘	NA
i̞	i̞	NA
i̠	i̠	NA
ĩ̞	ĩ̞	NA
ĩ̯	ĩ̯	NA
i̤	i̤	NA
ḭ	ḭ	NA
i˞	i˞	new segment type added
i˞ˤ	i˞ˤ	new segment type added
i˞ˤː	i˞ːˤ	new segment type added
iː	iː	NA
ĩː	ĩː	NA
ĩ̤ː	ĩ̤ː	NA
i̞ː	i̞ː	NA
i̤ː	i̤ː	NA
ḭː	ḭː	NA
iːə	iːə	NA
iːɛ	iːɛ	NA
iˑ	iˑ	NA
ia	ia	NA
ĩã	ĩã	NA
i̯a	i̯a	NA
iæ	iæ	NA
iæ̃	iæ̃	NA
iau	iau	NA
iɐ	iɐ	NA
iɑ	iɑ	guess
iɑu	iɑu	NA
ie	ie	NA
iẽ	iẽ	NA
ie̞	ie̞	NA
ĩẽ	ĩẽ	NA
i̯e	i̯e	NA
i̯ẽ	i̯ẽ	NA
iẽː	iẽː	NA
iə	iə	NA
iə̯	iə̯	NA
iɛ	iɛ	NA
iɛ̃	iɛ̃	NA
iɛ̠	iɛ̠	NA
i̯ɛ	i̯ɛ	NA
iɛː	iɛː	NA
ĩɛ̃ː	ĩɛ̃ː	NA
iɛi̯	iɛi̯	NA
iɜ	iɜ	NA
ii	ii	NA
ii̯	ii̯	NA
iɪ̯	iɪ̯	NA
ij	ii̯	conventionalized
io	io	NA
iø	iø	NA
ĩõ	ĩõ	NA
iou	iou	NA
iɔ	iɔ	NA
iu	iu	NA
iu̯	iu̯	NA
i̯uo	i̯uo	NA
i̯ũo	i̯ũo	NA
iw	iu	guess
iˤ	iˤ	NA
iˤː	iːˤ	NA
iˤæ	iˤæ	NA
ɪ	ɪ	NA
ɪ̆	ɪ̆	NA
ɪ̈	ɪ̈	NA
ɪ̞̈	ɪ̞̈	NA
ɪ̃	ɪ̃	NA
ɪ̞	ɪ̞	NA
ɪ̯	ɪ̯	NA
ɪ̰	ɪ̰	NA
ɪː	ɪː	NA
ɪ̃ː	ɪ̃ː	NA
ɪ̯ä	ɪ̯ä	NA
ɪə	ɪə	NA
ɪ̃ə̃	ɪ̃ə̃	NA
ɪɛ	ɪɛ	NA
ɪ̃ɛ	ɪ̃ɛ	NA
ɪɛː	ɪɛː	NA
ɪ̃ɛː	ɪ̃ɛː	NA
