IPA_for_PHOIBLE	Glottolog_code	Glottolog_nearest	Variety_name	coronal	distributed	anterior	high	low	front	back
t̺͉	ngan1298		Ngan'gityemerri	+	-	0	0	0	0	0
t̺͈	ngan1298		Ngan'gityemerri	+	-	0	0	0	0	0
ȶ͈	ngan1298		Ngan'gityemerri	+	+	0	0	0	0	0
n̺	ngan1298		Ngan'gityemerri	+	-	0	0	0	0	0
ȵ	ngan1298		Ngan'gityemerri	+	+	0	0	0	0	0
l̺	ngan1298		Ngan'gityemerri	+	-	0	0	0	0	0
r̺	ngan1298		Ngan'gityemerri	+	-	0	0	0	0	0
ɹ̺	ngan1298		Ngan'gityemerri	+	-	0	0	0	0	0
j	ngan1298		Ngan'gityemerri	+	+	0	0	0	0	0
z̺	ngan1298		Ngan'gityemerri	+	-	0	0	0	0	0
ɕ	ngan1298		Ngan'gityemerri	+	+	0	0	0	0	0
t̺	mull1237		Malak-Malak	+	-	0	0	0	0	0
ȶ	mull1237		Malak-Malak	+	+	0	0	0	0	0
n̺	mull1237		Malak-Malak	+	-	0	0	0	0	0
ȵ	mull1237		Malak-Malak	+	+	0	0	0	0	0
l̺	mull1237		Malak-Malak	+	-	0	0	0	0	0
ȴ	mull1237		Malak-Malak	+	+	0	0	0	0	0
r̺	mull1237		Malak-Malak	+	-	0	0	0	0	0
ɹ̺	mull1237		Malak-Malak	+	-	0	0	0	0	0
j	mull1237		Malak-Malak	+	+	0	0	0	0	0
t̺	gara1269		Garrwa	+	-	0	0	0	0	0
ȶ	gara1269		Garrwa	+	+	0	0	0	0	0
n̺	gara1269		Garrwa	+	-	0	0	0	0	0
ȵ	gara1269		Garrwa	+	+	0	0	0	0	0
l̺	gara1269		Garrwa	+	-	0	0	0	0	0
ȴ	gara1269		Garrwa	+	+	0	0	0	0	0
r̺	gara1269		Garrwa	+	-	0	0	0	0	0
ɹ̺	gara1269		Garrwa	+	-	0	0	0	0	0
j	gara1269		Garrwa	+	+	0	0	0	0	0
t̺	wany1247		Waanyi	+	-	0	0	0	0	0
ȶ	wany1247		Waanyi	+	+	0	0	0	0	0
n̺	wany1247		Waanyi	+	-	0	0	0	0	0
ȵ	wany1247		Waanyi	+	+	0	0	0	0	0
l̺	wany1247		Waanyi	+	-	0	0	0	0	0
ȴ	wany1247		Waanyi	+	+	0	0	0	0	0
r̺	wany1247		Waanyi	+	-	0	0	0	0	0
ɹ̺	wany1247		Waanyi	+	-	0	0	0	0	0
j	wany1247		Waanyi	+	+	0	0	0	0	0
t̺	kuni1269		Kunindirri	+	-	0	0	0	0	0
ȶ	kuni1269		Kunindirri	+	+	0	0	0	0	0
n̺	kuni1269		Kunindirri	+	-	0	0	0	0	0
ȵ	kuni1269		Kunindirri	+	+	0	0	0	0	0
l̺	kuni1269		Kunindirri	+	-	0	0	0	0	0
ȴ	kuni1269		Kunindirri	+	+	0	0	0	0	0
r̺	kuni1269		Kunindirri	+	-	0	0	0	0	0
ɹ̺	kuni1269		Kunindirri	+	-	0	0	0	0	0
j	kuni1269		Kunindirri	+	+	0	0	0	0	0
t̺͉	wara1290		Warray	+	-	0	0	0	0	0
t̺͈	wara1290		Warray	+	-	0	0	0	0	0
ȶ͉	wara1290		Warray	+	+	0	0	0	0	0
ȶ͈	wara1290		Warray	+	+	0	0	0	0	0
n̺	wara1290		Warray	+	-	0	0	0	0	0
ȵ	wara1290		Warray	+	+	0	0	0	0	0
l̺	wara1290		Warray	+	-	0	0	0	0	0
r̺	wara1290		Warray	+	-	0	0	0	0	0
j	wara1290		Warray	+	+	0	0	0	0	0
t̺͉	kung1259		Kungarakany	+	-	0	0	0	0	0
t̺͈	kung1259		Kungarakany	+	-	0	0	0	0	0
ȶ͉	kung1259		Kungarakany	+	+	0	0	0	0	0
ȶ͈	kung1259		Kungarakany	+	+	0	0	0	0	0
n̺	kung1259		Kungarakany	+	-	0	0	0	0	0
ȵ	kung1259		Kungarakany	+	+	0	0	0	0	0
l̺	kung1259		Kungarakany	+	-	0	0	0	0	0
r̺	kung1259		Kungarakany	+	-	0	0	0	0	0
ɹ̺	kung1259		Kungarakany	+	-	0	0	0	0	0
j	kung1259		Kungarakany	+	+	0	0	0	0	0
t̺	nung1291		Nungali	+	-	0	0	0	0	0
ȶ	nung1291		Nungali	+	+	0	0	0	0	0
n̺	nung1291		Nungali	+	-	0	0	0	0	0
ȵ	nung1291		Nungali	+	+	0	0	0	0	0
l̺	nung1291		Nungali	+	-	0	0	0	0	0
ȴ	nung1291		Nungali	+	+	0	0	0	0	0
ɹ̺	nung1291		Nungali	+	-	0	0	0	0	0
j	nung1291		Nungali	+	+	0	0	0	0	0
t̺	yugu1249		Bundjalung	+	-	0	0	0	0	0
ȶ	yugu1249		Bundjalung	+	+	0	0	0	0	0
n̺	yugu1249		Bundjalung	+	-	0	0	0	0	0
ȵ	yugu1249		Bundjalung	+	+	0	0	0	0	0
l̺	yugu1249		Bundjalung	+	-	0	0	0	0	0
r̺	yugu1249		Bundjalung	+	-	0	0	0	0	0
j	yugu1249		Bundjalung	+	+	0	0	0	0	0
t̺	gida1240		Gidabal	+	-	0	0	0	0	0
ȶ	gida1240		Gidabal	+	+	0	0	0	0	0
n̺	gida1240		Gidabal	+	-	0	0	0	0	0
ȵ	gida1240		Gidabal	+	+	0	0	0	0	0
l̺	gida1240		Gidabal	+	-	0	0	0	0	0
r̺	gida1240		Gidabal	+	-	0	0	0	0	0
j	gida1240		Gidabal	+	+	0	0	0	0	0
t̺	guwa1244		Guwar	+	-	0	0	0	0	0
ȶ	guwa1244		Guwar	+	+	0	0	0	0	0
n̺	guwa1244		Guwar	+	-	0	0	0	0	0
ȵ	guwa1244		Guwar	+	+	0	0	0	0	0
l̺	guwa1244		Guwar	+	-	0	0	0	0	0
r̺	guwa1244		Guwar	+	-	0	0	0	0	0
ɹ̺	guwa1244		Guwar	+	-	0	0	0	0	0
j	guwa1244		Guwar	+	+	0	0	0	0	0
t̺	minj1242		Minjungbal	+	-	0	0	0	0	0
ȶ	minj1242		Minjungbal	+	+	0	0	0	0	0
n̺	minj1242		Minjungbal	+	-	0	0	0	0	0
ȵ	minj1242		Minjungbal	+	+	0	0	0	0	0
l̺	minj1242		Minjungbal	+	-	0	0	0	0	0
r̺	minj1242		Minjungbal	+	-	0	0	0	0	0
j	minj1242		Minjungbal	+	+	0	0	0	0	0
t̺	band1358		Waalubal	+	-	0	0	0	0	0
ȶ	band1358		Waalubal	+	+	0	0	0	0	0
n̺	band1358		Waalubal	+	-	0	0	0	0	0
ȵ	band1358		Waalubal	+	+	0	0	0	0	0
l̺	band1358		Waalubal	+	-	0	0	0	0	0
r̺	band1358		Waalubal	+	-	0	0	0	0	0
j	band1358		Waalubal	+	+	0	0	0	0	0
t̺	gami1243		Gamilaraay	+	-	0	0	0	0	0
t̪	gami1243		Gamilaraay	+	+	+	0	0	0	0
ȶ	gami1243		Gamilaraay	+	+	-	0	0	0	0
n̺	gami1243		Gamilaraay	+	-	0	0	0	0	0
n̪	gami1243		Gamilaraay	+	+	+	0	0	0	0
ȵ	gami1243		Gamilaraay	+	+	-	0	0	0	0
l̺	gami1243		Gamilaraay	+	-	0	0	0	0	0
r̺	gami1243		Gamilaraay	+	-	0	0	0	0	0
ɹ̺	gami1243		Gamilaraay	+	-	0	0	0	0	0
j	gami1243		Gamilaraay	+	+	-	0	0	0	0
t̺	wang1291		Ngiyambaa	+	-	0	0	0	0	0
t̪	wang1291		Ngiyambaa	+	+	+	0	0	0	0
ȶ	wang1291		Ngiyambaa	+	+	-	0	0	0	0
n̺	wang1291		Ngiyambaa	+	-	0	0	0	0	0
n̪	wang1291		Ngiyambaa	+	+	+	0	0	0	0
ȵ	wang1291		Ngiyambaa	+	+	-	0	0	0	0
l̺	wang1291		Ngiyambaa	+	-	0	0	0	0	0
r̺	wang1291		Ngiyambaa	+	-	0	0	0	0	0
ɹ̺	wang1291		Ngiyambaa	+	-	0	0	0	0	0
j	wang1291		Ngiyambaa	+	+	-	0	0	0	0
t̺	wayi1238		Wayilwan	+	-	0	0	0	0	0
t̪	wayi1238		Wayilwan	+	+	+	0	0	0	0
ȶ	wayi1238		Wayilwan	+	+	-	0	0	0	0
n̺	wayi1238		Wayilwan	+	-	0	0	0	0	0
n̪	wayi1238		Wayilwan	+	+	+	0	0	0	0
ȵ	wayi1238		Wayilwan	+	+	-	0	0	0	0
l̺	wayi1238		Wayilwan	+	-	0	0	0	0	0
r̺	wayi1238		Wayilwan	+	-	0	0	0	0	0
ɹ̺	wayi1238		Wayilwan	+	-	0	0	0	0	0
j	wayi1238		Wayilwan	+	+	-	0	0	0	0
t̺	wira1262		Wiradjuri	+	-	0	0	0	0	0
t̪	wira1262		Wiradjuri	+	+	+	0	0	0	0
ȶ	wira1262		Wiradjuri	+	+	-	0	0	0	0
n̺	wira1262		Wiradjuri	+	-	0	0	0	0	0
n̪	wira1262		Wiradjuri	+	+	+	0	0	0	0
ȵ	wira1262		Wiradjuri	+	+	-	0	0	0	0
l̺	wira1262		Wiradjuri	+	-	0	0	0	0	0
r̺	wira1262		Wiradjuri	+	-	0	0	0	0	0
ɹ̺	wira1262		Wiradjuri	+	-	0	0	0	0	0
j	wira1262		Wiradjuri	+	+	-	0	0	0	0
t̺	wirr1237		Wiriyaraay	+	-	0	0	0	0	0
t̪	wirr1237		Wiriyaraay	+	+	+	0	0	0	0
ȶ	wirr1237		Wiriyaraay	+	+	-	0	0	0	0
n̺	wirr1237		Wiriyaraay	+	-	0	0	0	0	0
n̪	wirr1237		Wiriyaraay	+	+	+	0	0	0	0
ȵ	wirr1237		Wiriyaraay	+	+	-	0	0	0	0
l̺	wirr1237		Wiriyaraay	+	-	0	0	0	0	0
r̺	wirr1237		Wiriyaraay	+	-	0	0	0	0	0
ɹ̺	wirr1237		Wiriyaraay	+	-	0	0	0	0	0
j	wirr1237		Wiriyaraay	+	+	-	0	0	0	0
t̺	yuwa1242		Yuwaalaraay	+	-	0	0	0	0	0
t̪	yuwa1242		Yuwaalaraay	+	+	+	0	0	0	0
ȶ	yuwa1242		Yuwaalaraay	+	+	-	0	0	0	0
n̺	yuwa1242		Yuwaalaraay	+	-	0	0	0	0	0
n̪	yuwa1242		Yuwaalaraay	+	+	+	0	0	0	0
ȵ	yuwa1242		Yuwaalaraay	+	+	-	0	0	0	0
l̺	yuwa1242		Yuwaalaraay	+	-	0	0	0	0	0
r̺	yuwa1242		Yuwaalaraay	+	-	0	0	0	0	0
ɹ̺	yuwa1242		Yuwaalaraay	+	-	0	0	0	0	0
j	yuwa1242		Yuwaalaraay	+	+	-	0	0	0	0
t̺	yuwa1243		Yuwaliyaay	+	-	0	0	0	0	0
t̪	yuwa1243		Yuwaliyaay	+	+	+	0	0	0	0
ȶ	yuwa1243		Yuwaliyaay	+	+	-	0	0	0	0
n̺	yuwa1243		Yuwaliyaay	+	-	0	0	0	0	0
n̪	yuwa1243		Yuwaliyaay	+	+	+	0	0	0	0
ȵ	yuwa1243		Yuwaliyaay	+	+	-	0	0	0	0
l̺	yuwa1243		Yuwaliyaay	+	-	0	0	0	0	0
r̺	yuwa1243		Yuwaliyaay	+	-	0	0	0	0	0
ɹ̺	yuwa1243		Yuwaliyaay	+	-	0	0	0	0	0
j	yuwa1243		Yuwaliyaay	+	+	-	0	0	0	0
t̺	jand1248		Jandai	+	-	0	0	0	0	0
ȶ	jand1248		Jandai	+	+	0	0	0	0	0
n̺	jand1248		Jandai	+	-	0	0	0	0	0
ȵ	jand1248		Jandai	+	+	0	0	0	0	0
l̺	jand1248		Jandai	+	-	0	0	0	0	0
r̺	jand1248		Jandai	+	-	0	0	0	0	0
ɹ̺	jand1248		Jandai	+	-	0	0	0	0	0
j	jand1248		Jandai	+	+	0	0	0	0	0
t̺	0000turubul	yaga1256	Turubul	+	-	0	0	0	0	0
ȶ	0000turubul	yaga1256	Turubul	+	+	0	0	0	0	0
n̺	0000turubul	yaga1256	Turubul	+	-	0	0	0	0	0
ȵ	0000turubul	yaga1256	Turubul	+	+	0	0	0	0	0
l̺	0000turubul	yaga1256	Turubul	+	-	0	0	0	0	0
r̺	0000turubul	yaga1256	Turubul	+	-	0	0	0	0	0
ɹ̺	0000turubul	yaga1256	Turubul	+	-	0	0	0	0	0
j	0000turubul	yaga1256	Turubul	+	+	0	0	0	0	0
t̺	yaga1262		Yagara	+	-	0	0	0	0	0
ȶ	yaga1262		Yagara	+	+	0	0	0	0	0
n̺	yaga1262		Yagara	+	-	0	0	0	0	0
ȵ	yaga1262		Yagara	+	+	0	0	0	0	0
l̺	yaga1262		Yagara	+	-	0	0	0	0	0
r̺	yaga1262		Yagara	+	-	0	0	0	0	0
ɹ̺	yaga1262		Yagara	+	-	0	0	0	0	0
j	yaga1262		Yagara	+	+	0	0	0	0	0
t̺	dyir1250		Dyirbal	+	-	0	0	0	0	0
ȶ	dyir1250		Dyirbal	+	+	0	0	0	0	0
n̺	dyir1250		Dyirbal	+	-	0	0	0	0	0
ȵ	dyir1250		Dyirbal	+	+	0	0	0	0	0
l̺	dyir1250		Dyirbal	+	-	0	0	0	0	0
r̺	dyir1250		Dyirbal	+	-	0	0	0	0	0
ɹ̺	dyir1250		Dyirbal	+	-	0	0	0	0	0
j	dyir1250		Dyirbal	+	+	0	0	0	0	0
t̺	warr1255		Warrgamay	+	-	0	0	0	0	0
ȶ	warr1255		Warrgamay	+	+	0	0	0	0	0
n̺	warr1255		Warrgamay	+	-	0	0	0	0	0
ȵ	warr1255		Warrgamay	+	+	0	0	0	0	0
l̺	warr1255		Warrgamay	+	-	0	0	0	0	0
r̺	warr1255		Warrgamay	+	-	0	0	0	0	0
ɹ̺	warr1255		Warrgamay	+	-	0	0	0	0	0
j	warr1255		Warrgamay	+	+	0	0	0	0	0
t̺	kumb1268		Gumbaynggir	+	-	0	0	0	0	0
ȶ	kumb1268		Gumbaynggir	+	+	0	0	0	0	0
n̺	kumb1268		Gumbaynggir	+	-	0	0	0	0	0
ȵ	kumb1268		Gumbaynggir	+	+	0	0	0	0	0
l̺	kumb1268		Gumbaynggir	+	-	0	0	0	0	0
r̺	kumb1268		Gumbaynggir	+	-	0	0	0	0	0
ɹ̺	kumb1268		Gumbaynggir	+	-	0	0	0	0	0
j	kumb1268		Gumbaynggir	+	+	0	0	0	0	0
t̺	0000baanbay	kumb1268	Baanbay	+	-	0	0	0	0	0
ȶ	0000baanbay	kumb1268	Baanbay	+	+	0	0	0	0	0
n̺	0000baanbay	kumb1268	Baanbay	+	-	0	0	0	0	0
ȵ	0000baanbay	kumb1268	Baanbay	+	+	0	0	0	0	0
l̺	0000baanbay	kumb1268	Baanbay	+	-	0	0	0	0	0
r̺	0000baanbay	kumb1268	Baanbay	+	-	0	0	0	0	0
ɹ̺	0000baanbay	kumb1268	Baanbay	+	-	0	0	0	0	0
j	0000baanbay	kumb1268	Baanbay	+	+	0	0	0	0	0
t̺	yayg1236		Yaygir	+	-	0	0	0	0	0
ȶ	yayg1236		Yaygir	+	+	0	0	0	0	0
n̺	yayg1236		Yaygir	+	-	0	0	0	0	0
ȵ	yayg1236		Yaygir	+	+	0	0	0	0	0
l̺	yayg1236		Yaygir	+	-	0	0	0	0	0
r̺	yayg1236		Yaygir	+	-	0	0	0	0	0
ɹ̺	yayg1236		Yaygir	+	-	0	0	0	0	0
j	yayg1236		Yaygir	+	+	0	0	0	0	0
r̺͈	yayg1236		Yaygir	+	-	0	0	0	0	0
t̺	0000barada	gang1268	Barada	+	-	0	0	0	0	0
t̪	0000barada	gang1268	Barada	+	+	+	0	0	0	0
ȶ	0000barada	gang1268	Barada	+	+	-	0	0	0	0
n̺	0000barada	gang1268	Barada	+	-	0	0	0	0	0
n̪	0000barada	gang1268	Barada	+	+	+	0	0	0	0
ȵ	0000barada	gang1268	Barada	+	+	-	0	0	0	0
l̺	0000barada	gang1268	Barada	+	-	0	0	0	0	0
r̺	0000barada	gang1268	Barada	+	-	0	0	0	0	0
ɹ̺	0000barada	gang1268	Barada	+	-	0	0	0	0	0
j	0000barada	gang1268	Barada	+	+	-	0	0	0	0
t̺	0000barna	biri1256	Barna	+	-	0	0	0	0	0
t̪	0000barna	biri1256	Barna	+	+	+	0	0	0	0
ȶ	0000barna	biri1256	Barna	+	+	-	0	0	0	0
n̺	0000barna	biri1256	Barna	+	-	0	0	0	0	0
n̪	0000barna	biri1256	Barna	+	+	+	0	0	0	0
ȵ	0000barna	biri1256	Barna	+	+	-	0	0	0	0
l̺	0000barna	biri1256	Barna	+	-	0	0	0	0	0
r̺	0000barna	biri1256	Barna	+	-	0	0	0	0	0
ɹ̺	0000barna	biri1256	Barna	+	-	0	0	0	0	0
j	0000barna	biri1256	Barna	+	+	-	0	0	0	0
t̺	biri1256		Biri	+	-	0	0	0	0	0
t̪	biri1256		Biri	+	+	+	0	0	0	0
ȶ	biri1256		Biri	+	+	-	0	0	0	0
n̺	biri1256		Biri	+	-	0	0	0	0	0
n̪	biri1256		Biri	+	+	+	0	0	0	0
ȵ	biri1256		Biri	+	+	-	0	0	0	0
l̺	biri1256		Biri	+	-	0	0	0	0	0
r̺	biri1256		Biri	+	-	0	0	0	0	0
ɹ̺	biri1256		Biri	+	-	0	0	0	0	0
j	biri1256		Biri	+	+	-	0	0	0	0
t̺	0000gabalbara	gang1268	Gabalbara	+	-	0	0	0	0	0
t̪	0000gabalbara	gang1268	Gabalbara	+	+	+	0	0	0	0
ȶ	0000gabalbara	gang1268	Gabalbara	+	+	-	0	0	0	0
n̺	0000gabalbara	gang1268	Gabalbara	+	-	0	0	0	0	0
n̪	0000gabalbara	gang1268	Gabalbara	+	+	+	0	0	0	0
ȵ	0000gabalbara	gang1268	Gabalbara	+	+	-	0	0	0	0
l̺	0000gabalbara	gang1268	Gabalbara	+	-	0	0	0	0	0
r̺	0000gabalbara	gang1268	Gabalbara	+	-	0	0	0	0	0
ɹ̺	0000gabalbara	gang1268	Gabalbara	+	-	0	0	0	0	0
j	0000gabalbara	gang1268	Gabalbara	+	+	-	0	0	0	0
t̺	gang1268		Gangulu	+	-	0	0	0	0	0
t̪	gang1268		Gangulu	+	+	+	0	0	0	0
ȶ	gang1268		Gangulu	+	+	-	0	0	0	0
n̺	gang1268		Gangulu	+	-	0	0	0	0	0
n̪	gang1268		Gangulu	+	+	+	0	0	0	0
ȵ	gang1268		Gangulu	+	+	-	0	0	0	0
l̺	gang1268		Gangulu	+	-	0	0	0	0	0
r̺	gang1268		Gangulu	+	-	0	0	0	0	0
ɹ̺	gang1268		Gangulu	+	-	0	0	0	0	0
j	gang1268		Gangulu	+	+	-	0	0	0	0
t̺	0000ganulu	gang1268	Ganulu	+	-	0	0	0	0	0
t̪	0000ganulu	gang1268	Ganulu	+	+	+	0	0	0	0
ȶ	0000ganulu	gang1268	Ganulu	+	+	-	0	0	0	0
n̺	0000ganulu	gang1268	Ganulu	+	-	0	0	0	0	0
n̪	0000ganulu	gang1268	Ganulu	+	+	+	0	0	0	0
ȵ	0000ganulu	gang1268	Ganulu	+	+	-	0	0	0	0
l̺	0000ganulu	gang1268	Ganulu	+	-	0	0	0	0	0
r̺	0000ganulu	gang1268	Ganulu	+	-	0	0	0	0	0
ɹ̺	0000ganulu	gang1268	Ganulu	+	-	0	0	0	0	0
j	0000ganulu	gang1268	Ganulu	+	+	-	0	0	0	0
t̺	0000garingbal	biri1256	Garingbal	+	-	0	0	0	0	0
t̪	0000garingbal	biri1256	Garingbal	+	+	+	0	0	0	0
ȶ	0000garingbal	biri1256	Garingbal	+	+	-	0	0	0	0
n̺	0000garingbal	biri1256	Garingbal	+	-	0	0	0	0	0
n̪	0000garingbal	biri1256	Garingbal	+	+	+	0	0	0	0
ȵ	0000garingbal	biri1256	Garingbal	+	+	-	0	0	0	0
l̺	0000garingbal	biri1256	Garingbal	+	-	0	0	0	0	0
r̺	0000garingbal	biri1256	Garingbal	+	-	0	0	0	0	0
ɹ̺	0000garingbal	biri1256	Garingbal	+	-	0	0	0	0	0
j	0000garingbal	biri1256	Garingbal	+	+	-	0	0	0	0
t̺	0000miyan	biri1256	Miyan	+	-	0	0	0	0	0
t̪	0000miyan	biri1256	Miyan	+	+	+	0	0	0	0
ȶ	0000miyan	biri1256	Miyan	+	+	-	0	0	0	0
n̺	0000miyan	biri1256	Miyan	+	-	0	0	0	0	0
n̪	0000miyan	biri1256	Miyan	+	+	+	0	0	0	0
ȵ	0000miyan	biri1256	Miyan	+	+	-	0	0	0	0
l̺	0000miyan	biri1256	Miyan	+	-	0	0	0	0	0
r̺	0000miyan	biri1256	Miyan	+	-	0	0	0	0	0
ɹ̺	0000miyan	biri1256	Miyan	+	-	0	0	0	0	0
j	0000miyan	biri1256	Miyan	+	+	-	0	0	0	0
t̺	0000wiri	biri1256	Wiri	+	-	0	0	0	0	0
t̪	0000wiri	biri1256	Wiri	+	+	+	0	0	0	0
ȶ	0000wiri	biri1256	Wiri	+	+	-	0	0	0	0
n̺	0000wiri	biri1256	Wiri	+	-	0	0	0	0	0
n̪	0000wiri	biri1256	Wiri	+	+	+	0	0	0	0
ȵ	0000wiri	biri1256	Wiri	+	+	-	0	0	0	0
l̺	0000wiri	biri1256	Wiri	+	-	0	0	0	0	0
r̺	0000wiri	biri1256	Wiri	+	-	0	0	0	0	0
ɹ̺	0000wiri	biri1256	Wiri	+	-	0	0	0	0	0
j	0000wiri	biri1256	Wiri	+	+	-	0	0	0	0
t̺	0000yambina	biri1256	Yambina	+	-	0	0	0	0	0
t̪	0000yambina	biri1256	Yambina	+	+	+	0	0	0	0
ȶ	0000yambina	biri1256	Yambina	+	+	-	0	0	0	0
n̺	0000yambina	biri1256	Yambina	+	-	0	0	0	0	0
n̪	0000yambina	biri1256	Yambina	+	+	+	0	0	0	0
ȵ	0000yambina	biri1256	Yambina	+	+	-	0	0	0	0
l̺	0000yambina	biri1256	Yambina	+	-	0	0	0	0	0
r̺	0000yambina	biri1256	Yambina	+	-	0	0	0	0	0
ɹ̺	0000yambina	biri1256	Yambina	+	-	0	0	0	0	0
j	0000yambina	biri1256	Yambina	+	+	-	0	0	0	0
t̺	0000yangga	biri1256	Yangga	+	-	0	0	0	0	0
t̪	0000yangga	biri1256	Yangga	+	+	+	0	0	0	0
ȶ	0000yangga	biri1256	Yangga	+	+	-	0	0	0	0
n̺	0000yangga	biri1256	Yangga	+	-	0	0	0	0	0
n̪	0000yangga	biri1256	Yangga	+	+	+	0	0	0	0
ȵ	0000yangga	biri1256	Yangga	+	+	-	0	0	0	0
l̺	0000yangga	biri1256	Yangga	+	-	0	0	0	0	0
r̺	0000yangga	biri1256	Yangga	+	-	0	0	0	0	0
ɹ̺	0000yangga	biri1256	Yangga	+	-	0	0	0	0	0
j	0000yangga	biri1256	Yangga	+	+	-	0	0	0	0
t̺	0000yetimarala	gang1268	Yetimarala	+	-	0	0	0	0	0
t̪	0000yetimarala	gang1268	Yetimarala	+	+	+	0	0	0	0
ȶ	0000yetimarala	gang1268	Yetimarala	+	+	-	0	0	0	0
n̺	0000yetimarala	gang1268	Yetimarala	+	-	0	0	0	0	0
n̪	0000yetimarala	gang1268	Yetimarala	+	+	+	0	0	0	0
ȵ	0000yetimarala	gang1268	Yetimarala	+	+	-	0	0	0	0
l̺	0000yetimarala	gang1268	Yetimarala	+	-	0	0	0	0	0
r̺	0000yetimarala	gang1268	Yetimarala	+	-	0	0	0	0	0
ɹ̺	0000yetimarala	gang1268	Yetimarala	+	-	0	0	0	0	0
j	0000yetimarala	gang1268	Yetimarala	+	+	-	0	0	0	0
t̺	0000yilba	biri1256	Yilba	+	-	0	0	0	0	0
t̪	0000yilba	biri1256	Yilba	+	+	+	0	0	0	0
ȶ	0000yilba	biri1256	Yilba	+	+	-	0	0	0	0
n̺	0000yilba	biri1256	Yilba	+	-	0	0	0	0	0
n̪	0000yilba	biri1256	Yilba	+	+	+	0	0	0	0
ȵ	0000yilba	biri1256	Yilba	+	+	-	0	0	0	0
l̺	0000yilba	biri1256	Yilba	+	-	0	0	0	0	0
r̺	0000yilba	biri1256	Yilba	+	-	0	0	0	0	0
ɹ̺	0000yilba	biri1256	Yilba	+	-	0	0	0	0	0
j	0000yilba	biri1256	Yilba	+	+	-	0	0	0	0
t̺	0000yuwi	biri1256	Yuwi	+	-	0	0	0	0	0
t̪	0000yuwi	biri1256	Yuwi	+	+	+	0	0	0	0
ȶ	0000yuwi	biri1256	Yuwi	+	+	-	0	0	0	0
n̺	0000yuwi	biri1256	Yuwi	+	-	0	0	0	0	0
n̪	0000yuwi	biri1256	Yuwi	+	+	+	0	0	0	0
ȵ	0000yuwi	biri1256	Yuwi	+	+	-	0	0	0	0
l̺	0000yuwi	biri1256	Yuwi	+	-	0	0	0	0	0
r̺	0000yuwi	biri1256	Yuwi	+	-	0	0	0	0	0
ɹ̺	0000yuwi	biri1256	Yuwi	+	-	0	0	0	0	0
j	0000yuwi	biri1256	Yuwi	+	+	-	0	0	0	0
t̺	0000dharawala	bidy1243	Dharawala	+	-	0	0	0	0	0
t̪	0000dharawala	bidy1243	Dharawala	+	+	+	0	0	0	0
ȶ	0000dharawala	bidy1243	Dharawala	+	+	-	0	0	0	0
n̺	0000dharawala	bidy1243	Dharawala	+	-	0	0	0	0	0
n̪	0000dharawala	bidy1243	Dharawala	+	+	+	0	0	0	0
ȵ	0000dharawala	bidy1243	Dharawala	+	+	-	0	0	0	0
l̺	0000dharawala	bidy1243	Dharawala	+	-	0	0	0	0	0
ɹ̺	0000dharawala	bidy1243	Dharawala	+	-	0	0	0	0	0
j	0000dharawala	bidy1243	Dharawala	+	+	-	0	0	0	0
t̺͉	dhar1248		Dharumbal	+	-	0	0	0	0	0
t̺͈	dhar1248		Dharumbal	+	-	0	0	0	0	0
t̪͉	dhar1248		Dharumbal	+	+	+	0	0	0	0
t̪͈	dhar1248		Dharumbal	+	+	+	0	0	0	0
n̺	dhar1248		Dharumbal	+	-	0	0	0	0	0
n̪	dhar1248		Dharumbal	+	+	+	0	0	0	0
l̺	dhar1248		Dharumbal	+	-	0	0	0	0	0
r̺	dhar1248		Dharumbal	+	-	0	0	0	0	0
ɹ̺	dhar1248		Dharumbal	+	-	0	0	0	0	0
j	dhar1248		Dharumbal	+	+	-	0	0	0	0
r̺͈	dhar1248		Dharumbal	+	-	0	0	0	0	0
t̺	gudj1237		Gudjal	+	-	0	0	0	0	0
t̪	gudj1237		Gudjal	+	+	+	0	0	0	0
ȶ	gudj1237		Gudjal	+	+	-	0	0	0	0
n̺	gudj1237		Gudjal	+	-	0	0	0	0	0
n̪	gudj1237		Gudjal	+	+	+	0	0	0	0
ȵ	gudj1237		Gudjal	+	+	-	0	0	0	0
l̺	gudj1237		Gudjal	+	-	0	0	0	0	0
r̺	gudj1237		Gudjal	+	-	0	0	0	0	0
ɹ̺	gudj1237		Gudjal	+	-	0	0	0	0	0
j	gudj1237		Gudjal	+	+	-	0	0	0	0
t̺	gugu1253		Gugu Badhun	+	-	0	0	0	0	0
t̪	gugu1253		Gugu Badhun	+	+	+	0	0	0	0
ȶ	gugu1253		Gugu Badhun	+	+	-	0	0	0	0
n̺	gugu1253		Gugu Badhun	+	-	0	0	0	0	0
n̪	gugu1253		Gugu Badhun	+	+	+	0	0	0	0
l̺	gugu1253		Gugu Badhun	+	-	0	0	0	0	0
r̺	gugu1253		Gugu Badhun	+	-	0	0	0	0	0
ɹ̺	gugu1253		Gugu Badhun	+	-	0	0	0	0	0
j	gugu1253		Gugu Badhun	+	+	-	0	0	0	0
t̺	waru1264		Warungu	+	-	0	0	0	0	0
ȶ	waru1264		Warungu	+	+	0	0	0	0	0
n̺	waru1264		Warungu	+	-	0	0	0	0	0
ȵ	waru1264		Warungu	+	+	0	0	0	0	0
l̺	waru1264		Warungu	+	-	0	0	0	0	0
