IPA_for_PHOIBLE	Glottolog_code	Glottolog_nearest	Variety_name	Source	Source_ref	Comments
t̺͉	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
t̺͈	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
ȶ͈	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
k͈	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
p͉	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
p͈	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
n̺	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
ȵ	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
ŋ	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
m	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
l̺	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
r̺	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
ɹ̺	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
j	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
w	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
i	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
u	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
a	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
e	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
z̺	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
ɕ	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
x	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
ɸ	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
t̺	mull1237		Malak-Malak	Birk 1975	birk_phonology_1975	Please see also the general comparative notes on Australian inventories.
ȶ	mull1237		Malak-Malak	Birk 1975	birk_phonology_1975	Please see also the general comparative notes on Australian inventories.
k	mull1237		Malak-Malak	Birk 1975	birk_phonology_1975	Please see also the general comparative notes on Australian inventories.
p	mull1237		Malak-Malak	Birk 1975	birk_phonology_1975	Please see also the general comparative notes on Australian inventories.
n̺	mull1237		Malak-Malak	Birk 1975	birk_phonology_1975	Please see also the general comparative notes on Australian inventories.
ȵ	mull1237		Malak-Malak	Birk 1975	birk_phonology_1975	Please see also the general comparative notes on Australian inventories.
ŋ	mull1237		Malak-Malak	Birk 1975	birk_phonology_1975	Please see also the general comparative notes on Australian inventories.
m	mull1237		Malak-Malak	Birk 1975	birk_phonology_1975	Please see also the general comparative notes on Australian inventories.
l̺	mull1237		Malak-Malak	Birk 1975	birk_phonology_1975	Please see also the general comparative notes on Australian inventories.
ȴ	mull1237		Malak-Malak	Birk 1975	birk_phonology_1975	Please see also the general comparative notes on Australian inventories.
r̺	mull1237		Malak-Malak	Birk 1975	birk_phonology_1975	Please see also the general comparative notes on Australian inventories.
ɹ̺	mull1237		Malak-Malak	Birk 1975	birk_phonology_1975	Please see also the general comparative notes on Australian inventories.
j	mull1237		Malak-Malak	Birk 1975	birk_phonology_1975	Please see also the general comparative notes on Australian inventories.
w	mull1237		Malak-Malak	Birk 1975	birk_phonology_1975	Please see also the general comparative notes on Australian inventories.
i	mull1237		Malak-Malak	Birk 1975	birk_phonology_1975	Please see also the general comparative notes on Australian inventories.
u	mull1237		Malak-Malak	Birk 1975	birk_phonology_1975	Please see also the general comparative notes on Australian inventories.
a	mull1237		Malak-Malak	Birk 1975	birk_phonology_1975	Please see also the general comparative notes on Australian inventories.
e	mull1237		Malak-Malak	Birk 1975	birk_phonology_1975	Please see also the general comparative notes on Australian inventories.
ə	mull1237		Malak-Malak	Birk 1975	birk_phonology_1975	Please see also the general comparative notes on Australian inventories.
t̺	gara1269		Garrwa	Mushin 2012	mushin_grammar_2012	Please see also the general comparative notes on Australian inventories.
ȶ	gara1269		Garrwa	Mushin 2012	mushin_grammar_2012	Please see also the general comparative notes on Australian inventories.
k	gara1269		Garrwa	Mushin 2012	mushin_grammar_2012	Please see also the general comparative notes on Australian inventories.
p	gara1269		Garrwa	Mushin 2012	mushin_grammar_2012	Please see also the general comparative notes on Australian inventories.
n̺	gara1269		Garrwa	Mushin 2012	mushin_grammar_2012	Please see also the general comparative notes on Australian inventories.
ȵ	gara1269		Garrwa	Mushin 2012	mushin_grammar_2012	Please see also the general comparative notes on Australian inventories.
ŋ	gara1269		Garrwa	Mushin 2012	mushin_grammar_2012	Please see also the general comparative notes on Australian inventories.
m	gara1269		Garrwa	Mushin 2012	mushin_grammar_2012	Please see also the general comparative notes on Australian inventories.
l̺	gara1269		Garrwa	Mushin 2012	mushin_grammar_2012	Please see also the general comparative notes on Australian inventories.
ȴ	gara1269		Garrwa	Mushin 2012	mushin_grammar_2012	Please see also the general comparative notes on Australian inventories.
r̺	gara1269		Garrwa	Mushin 2012	mushin_grammar_2012	Please see also the general comparative notes on Australian inventories.
ɹ̺	gara1269		Garrwa	Mushin 2012	mushin_grammar_2012	Please see also the general comparative notes on Australian inventories.
j	gara1269		Garrwa	Mushin 2012	mushin_grammar_2012	Please see also the general comparative notes on Australian inventories.
w	gara1269		Garrwa	Mushin 2012	mushin_grammar_2012	Please see also the general comparative notes on Australian inventories.
i	gara1269		Garrwa	Mushin 2012	mushin_grammar_2012	Please see also the general comparative notes on Australian inventories.
u	gara1269		Garrwa	Mushin 2012	mushin_grammar_2012	Please see also the general comparative notes on Australian inventories.
a	gara1269		Garrwa	Mushin 2012	mushin_grammar_2012	Please see also the general comparative notes on Australian inventories.
t̺	wany1247		Waanyi	Breen 2003	breen_wanyi_2003	Please see also the general comparative notes on Australian inventories.
ȶ	wany1247		Waanyi	Breen 2003	breen_wanyi_2003	Please see also the general comparative notes on Australian inventories.
k	wany1247		Waanyi	Breen 2003	breen_wanyi_2003	Please see also the general comparative notes on Australian inventories.
p	wany1247		Waanyi	Breen 2003	breen_wanyi_2003	Please see also the general comparative notes on Australian inventories.
n̺	wany1247		Waanyi	Breen 2003	breen_wanyi_2003	Please see also the general comparative notes on Australian inventories.
ȵ	wany1247		Waanyi	Breen 2003	breen_wanyi_2003	Please see also the general comparative notes on Australian inventories.
ŋ	wany1247		Waanyi	Breen 2003	breen_wanyi_2003	Please see also the general comparative notes on Australian inventories.
m	wany1247		Waanyi	Breen 2003	breen_wanyi_2003	Please see also the general comparative notes on Australian inventories.
l̺	wany1247		Waanyi	Breen 2003	breen_wanyi_2003	Please see also the general comparative notes on Australian inventories.
ȴ	wany1247		Waanyi	Breen 2003	breen_wanyi_2003	Please see also the general comparative notes on Australian inventories.
r̺	wany1247		Waanyi	Breen 2003	breen_wanyi_2003	Please see also the general comparative notes on Australian inventories.
ɹ̺	wany1247		Waanyi	Breen 2003	breen_wanyi_2003	Please see also the general comparative notes on Australian inventories.
j	wany1247		Waanyi	Breen 2003	breen_wanyi_2003	Please see also the general comparative notes on Australian inventories.
w	wany1247		Waanyi	Breen 2003	breen_wanyi_2003	Please see also the general comparative notes on Australian inventories.
i	wany1247		Waanyi	Breen 2003	breen_wanyi_2003	Please see also the general comparative notes on Australian inventories.
iː	wany1247		Waanyi	Breen 2003	breen_wanyi_2003	Please see also the general comparative notes on Australian inventories.
u	wany1247		Waanyi	Breen 2003	breen_wanyi_2003	Please see also the general comparative notes on Australian inventories.
uː	wany1247		Waanyi	Breen 2003	breen_wanyi_2003	Please see also the general comparative notes on Australian inventories.
a	wany1247		Waanyi	Breen 2003	breen_wanyi_2003	Please see also the general comparative notes on Australian inventories.
aː	wany1247		Waanyi	Breen 2003	breen_wanyi_2003	Please see also the general comparative notes on Australian inventories.
t̺	kuni1269		Kunindirri	Breen 2003	breen_wanyi_2003	Please see also the general comparative notes on Australian inventories.
ȶ	kuni1269		Kunindirri	Breen 2003	breen_wanyi_2003	Please see also the general comparative notes on Australian inventories.
k	kuni1269		Kunindirri	Breen 2003	breen_wanyi_2003	Please see also the general comparative notes on Australian inventories.
p	kuni1269		Kunindirri	Breen 2003	breen_wanyi_2003	Please see also the general comparative notes on Australian inventories.
n̺	kuni1269		Kunindirri	Breen 2003	breen_wanyi_2003	Please see also the general comparative notes on Australian inventories.
ȵ	kuni1269		Kunindirri	Breen 2003	breen_wanyi_2003	Please see also the general comparative notes on Australian inventories.
ŋ	kuni1269		Kunindirri	Breen 2003	breen_wanyi_2003	Please see also the general comparative notes on Australian inventories.
m	kuni1269		Kunindirri	Breen 2003	breen_wanyi_2003	Please see also the general comparative notes on Australian inventories.
l̺	kuni1269		Kunindirri	Breen 2003	breen_wanyi_2003	Please see also the general comparative notes on Australian inventories.
ȴ	kuni1269		Kunindirri	Breen 2003	breen_wanyi_2003	Please see also the general comparative notes on Australian inventories.
r̺	kuni1269		Kunindirri	Breen 2003	breen_wanyi_2003	Please see also the general comparative notes on Australian inventories.
ɹ̺	kuni1269		Kunindirri	Breen 2003	breen_wanyi_2003	Please see also the general comparative notes on Australian inventories.
j	kuni1269		Kunindirri	Breen 2003	breen_wanyi_2003	Please see also the general comparative notes on Australian inventories.
w	kuni1269		Kunindirri	Breen 2003	breen_wanyi_2003	Please see also the general comparative notes on Australian inventories.
i	kuni1269		Kunindirri	Breen 2003	breen_wanyi_2003	Please see also the general comparative notes on Australian inventories.
u	kuni1269		Kunindirri	Breen 2003	breen_wanyi_2003	Please see also the general comparative notes on Australian inventories.
a	kuni1269		Kunindirri	Breen 2003	breen_wanyi_2003	Please see also the general comparative notes on Australian inventories.
t̺͉	wara1290		Warray	Harvey 1986	harvey_ngoni_1986	Please see also the general comparative notes on Australian inventories.
t̺͈	wara1290		Warray	Harvey 1986	harvey_ngoni_1986	Please see also the general comparative notes on Australian inventories.
ȶ͉	wara1290		Warray	Harvey 1986	harvey_ngoni_1986	Please see also the general comparative notes on Australian inventories.
ȶ͈	wara1290		Warray	Harvey 1986	harvey_ngoni_1986	Please see also the general comparative notes on Australian inventories.
k͉	wara1290		Warray	Harvey 1986	harvey_ngoni_1986	Please see also the general comparative notes on Australian inventories.
k͈	wara1290		Warray	Harvey 1986	harvey_ngoni_1986	Please see also the general comparative notes on Australian inventories.
p͉	wara1290		Warray	Harvey 1986	harvey_ngoni_1986	Please see also the general comparative notes on Australian inventories.
p͈	wara1290		Warray	Harvey 1986	harvey_ngoni_1986	Please see also the general comparative notes on Australian inventories.
n̺	wara1290		Warray	Harvey 1986	harvey_ngoni_1986	Please see also the general comparative notes on Australian inventories.
ȵ	wara1290		Warray	Harvey 1986	harvey_ngoni_1986	Please see also the general comparative notes on Australian inventories.
ŋ	wara1290		Warray	Harvey 1986	harvey_ngoni_1986	Please see also the general comparative notes on Australian inventories.
m	wara1290		Warray	Harvey 1986	harvey_ngoni_1986	Please see also the general comparative notes on Australian inventories.
l̺	wara1290		Warray	Harvey 1986	harvey_ngoni_1986	Please see also the general comparative notes on Australian inventories.
r̺	wara1290		Warray	Harvey 1986	harvey_ngoni_1986	Please see also the general comparative notes on Australian inventories.
j	wara1290		Warray	Harvey 1986	harvey_ngoni_1986	Please see also the general comparative notes on Australian inventories.
w	wara1290		Warray	Harvey 1986	harvey_ngoni_1986	Please see also the general comparative notes on Australian inventories.
i	wara1290		Warray	Harvey 1986	harvey_ngoni_1986	Please see also the general comparative notes on Australian inventories.
u	wara1290		Warray	Harvey 1986	harvey_ngoni_1986	Please see also the general comparative notes on Australian inventories.
a	wara1290		Warray	Harvey 1986	harvey_ngoni_1986	Please see also the general comparative notes on Australian inventories.
e	wara1290		Warray	Harvey 1986	harvey_ngoni_1986	Please see also the general comparative notes on Australian inventories.
o	wara1290		Warray	Harvey 1986	harvey_ngoni_1986	Please see also the general comparative notes on Australian inventories.
t̺͉	kung1259		Kungarakany	Parish 1983	parish_aspects_1983	Please see also the general comparative notes on Australian inventories. Phonemic inventory inferred from word data in Parish 1983.
t̺͈	kung1259		Kungarakany	Parish 1983	parish_aspects_1983	Please see also the general comparative notes on Australian inventories. Phonemic inventory inferred from word data in Parish 1983.
ȶ͉	kung1259		Kungarakany	Parish 1983	parish_aspects_1983	Please see also the general comparative notes on Australian inventories. Phonemic inventory inferred from word data in Parish 1983.
ȶ͈	kung1259		Kungarakany	Parish 1983	parish_aspects_1983	Please see also the general comparative notes on Australian inventories. Phonemic inventory inferred from word data in Parish 1983.
k͉	kung1259		Kungarakany	Parish 1983	parish_aspects_1983	Please see also the general comparative notes on Australian inventories. Phonemic inventory inferred from word data in Parish 1983.
k͈	kung1259		Kungarakany	Parish 1983	parish_aspects_1983	Please see also the general comparative notes on Australian inventories. Phonemic inventory inferred from word data in Parish 1983.
p͉	kung1259		Kungarakany	Parish 1983	parish_aspects_1983	Please see also the general comparative notes on Australian inventories. Phonemic inventory inferred from word data in Parish 1983.
p͈	kung1259		Kungarakany	Parish 1983	parish_aspects_1983	Please see also the general comparative notes on Australian inventories. Phonemic inventory inferred from word data in Parish 1983.
n̺	kung1259		Kungarakany	Parish 1983	parish_aspects_1983	Please see also the general comparative notes on Australian inventories. Phonemic inventory inferred from word data in Parish 1983.
ȵ	kung1259		Kungarakany	Parish 1983	parish_aspects_1983	Please see also the general comparative notes on Australian inventories. Phonemic inventory inferred from word data in Parish 1983.
ŋ	kung1259		Kungarakany	Parish 1983	parish_aspects_1983	Please see also the general comparative notes on Australian inventories. Phonemic inventory inferred from word data in Parish 1983.
m	kung1259		Kungarakany	Parish 1983	parish_aspects_1983	Please see also the general comparative notes on Australian inventories. Phonemic inventory inferred from word data in Parish 1983.
l̺	kung1259		Kungarakany	Parish 1983	parish_aspects_1983	Please see also the general comparative notes on Australian inventories. Phonemic inventory inferred from word data in Parish 1983.
r̺	kung1259		Kungarakany	Parish 1983	parish_aspects_1983	Please see also the general comparative notes on Australian inventories. Phonemic inventory inferred from word data in Parish 1983.
ɹ̺	kung1259		Kungarakany	Parish 1983	parish_aspects_1983	Please see also the general comparative notes on Australian inventories. Phonemic inventory inferred from word data in Parish 1983.
j	kung1259		Kungarakany	Parish 1983	parish_aspects_1983	Please see also the general comparative notes on Australian inventories. Phonemic inventory inferred from word data in Parish 1983.
w	kung1259		Kungarakany	Parish 1983	parish_aspects_1983	Please see also the general comparative notes on Australian inventories. Phonemic inventory inferred from word data in Parish 1983.
i	kung1259		Kungarakany	Parish 1983	parish_aspects_1983	Please see also the general comparative notes on Australian inventories. Phonemic inventory inferred from word data in Parish 1983.
u	kung1259		Kungarakany	Parish 1983	parish_aspects_1983	Please see also the general comparative notes on Australian inventories. Phonemic inventory inferred from word data in Parish 1983.
a	kung1259		Kungarakany	Parish 1983	parish_aspects_1983	Please see also the general comparative notes on Australian inventories. Phonemic inventory inferred from word data in Parish 1983.
e	kung1259		Kungarakany	Parish 1983	parish_aspects_1983	Please see also the general comparative notes on Australian inventories. Phonemic inventory inferred from word data in Parish 1983.
o	kung1259		Kungarakany	Parish 1983	parish_aspects_1983	Please see also the general comparative notes on Australian inventories. Phonemic inventory inferred from word data in Parish 1983.
t̺	nung1291		Nungali	Bolt 1971	bolt_elementary_1971	Please see also the general comparative notes on Australian inventories.
ȶ	nung1291		Nungali	Bolt 1971	bolt_elementary_1971	Please see also the general comparative notes on Australian inventories.
k	nung1291		Nungali	Bolt 1971	bolt_elementary_1971	Please see also the general comparative notes on Australian inventories.
p	nung1291		Nungali	Bolt 1971	bolt_elementary_1971	Please see also the general comparative notes on Australian inventories.
n̺	nung1291		Nungali	Bolt 1971	bolt_elementary_1971	Please see also the general comparative notes on Australian inventories.
ȵ	nung1291		Nungali	Bolt 1971	bolt_elementary_1971	Please see also the general comparative notes on Australian inventories.
ŋ	nung1291		Nungali	Bolt 1971	bolt_elementary_1971	Please see also the general comparative notes on Australian inventories.
m	nung1291		Nungali	Bolt 1971	bolt_elementary_1971	Please see also the general comparative notes on Australian inventories.
l̺	nung1291		Nungali	Bolt 1971	bolt_elementary_1971	Please see also the general comparative notes on Australian inventories.
ȴ	nung1291		Nungali	Bolt 1971	bolt_elementary_1971	Please see also the general comparative notes on Australian inventories.
ɹ̺	nung1291		Nungali	Bolt 1971	bolt_elementary_1971	Please see also the general comparative notes on Australian inventories.
j	nung1291		Nungali	Bolt 1971	bolt_elementary_1971	Please see also the general comparative notes on Australian inventories.
w	nung1291		Nungali	Bolt 1971	bolt_elementary_1971	Please see also the general comparative notes on Australian inventories.
i	nung1291		Nungali	Bolt 1971	bolt_elementary_1971	Please see also the general comparative notes on Australian inventories.
u	nung1291		Nungali	Bolt 1971	bolt_elementary_1971	Please see also the general comparative notes on Australian inventories.
a	nung1291		Nungali	Bolt 1971	bolt_elementary_1971	Please see also the general comparative notes on Australian inventories.
t̺	yugu1249		Bundjalung	Sharpe 2005	sharpe_grammar_2005	Please see also the general comparative notes on Australian inventories.
ȶ	yugu1249		Bundjalung	Sharpe 2005	sharpe_grammar_2005	Please see also the general comparative notes on Australian inventories.
k	yugu1249		Bundjalung	Sharpe 2005	sharpe_grammar_2005	Please see also the general comparative notes on Australian inventories.
p	yugu1249		Bundjalung	Sharpe 2005	sharpe_grammar_2005	Please see also the general comparative notes on Australian inventories.
n̺	yugu1249		Bundjalung	Sharpe 2005	sharpe_grammar_2005	Please see also the general comparative notes on Australian inventories.
ȵ	yugu1249		Bundjalung	Sharpe 2005	sharpe_grammar_2005	Please see also the general comparative notes on Australian inventories.
ŋ	yugu1249		Bundjalung	Sharpe 2005	sharpe_grammar_2005	Please see also the general comparative notes on Australian inventories.
m	yugu1249		Bundjalung	Sharpe 2005	sharpe_grammar_2005	Please see also the general comparative notes on Australian inventories.
l̺	yugu1249		Bundjalung	Sharpe 2005	sharpe_grammar_2005	Please see also the general comparative notes on Australian inventories.
r̺	yugu1249		Bundjalung	Sharpe 2005	sharpe_grammar_2005	Please see also the general comparative notes on Australian inventories.
j	yugu1249		Bundjalung	Sharpe 2005	sharpe_grammar_2005	Please see also the general comparative notes on Australian inventories.
w	yugu1249		Bundjalung	Sharpe 2005	sharpe_grammar_2005	Please see also the general comparative notes on Australian inventories.
i	yugu1249		Bundjalung	Sharpe 2005	sharpe_grammar_2005	Please see also the general comparative notes on Australian inventories.
iː	yugu1249		Bundjalung	Sharpe 2005	sharpe_grammar_2005	Please see also the general comparative notes on Australian inventories.
u	yugu1249		Bundjalung	Sharpe 2005	sharpe_grammar_2005	Please see also the general comparative notes on Australian inventories.
uː	yugu1249		Bundjalung	Sharpe 2005	sharpe_grammar_2005	Please see also the general comparative notes on Australian inventories.
a	yugu1249		Bundjalung	Sharpe 2005	sharpe_grammar_2005	Please see also the general comparative notes on Australian inventories.
aː	yugu1249		Bundjalung	Sharpe 2005	sharpe_grammar_2005	Please see also the general comparative notes on Australian inventories.
e	yugu1249		Bundjalung	Sharpe 2005	sharpe_grammar_2005	Please see also the general comparative notes on Australian inventories.
eː	yugu1249		Bundjalung	Sharpe 2005	sharpe_grammar_2005	Please see also the general comparative notes on Australian inventories.
t̺	gida1240		Gidabal	Geytenbeek&Geytenbeek 1971	geytenbeek_gidabal_1971	Please see also the general comparative notes on Australian inventories. The place of articulation labeled 'dental' in Geytenbeek 1971 is 'apical' in standard Australianist terms.
ȶ	gida1240		Gidabal	Geytenbeek&Geytenbeek 1971	geytenbeek_gidabal_1971	Please see also the general comparative notes on Australian inventories. The place of articulation labeled 'dental' in Geytenbeek 1971 is 'apical' in standard Australianist terms.
k	gida1240		Gidabal	Geytenbeek&Geytenbeek 1971	geytenbeek_gidabal_1971	Please see also the general comparative notes on Australian inventories. The place of articulation labeled 'dental' in Geytenbeek 1971 is 'apical' in standard Australianist terms.
p	gida1240		Gidabal	Geytenbeek&Geytenbeek 1971	geytenbeek_gidabal_1971	Please see also the general comparative notes on Australian inventories. The place of articulation labeled 'dental' in Geytenbeek 1971 is 'apical' in standard Australianist terms.
n̺	gida1240		Gidabal	Geytenbeek&Geytenbeek 1971	geytenbeek_gidabal_1971	Please see also the general comparative notes on Australian inventories. The place of articulation labeled 'dental' in Geytenbeek 1971 is 'apical' in standard Australianist terms.
ȵ	gida1240		Gidabal	Geytenbeek&Geytenbeek 1971	geytenbeek_gidabal_1971	Please see also the general comparative notes on Australian inventories. The place of articulation labeled 'dental' in Geytenbeek 1971 is 'apical' in standard Australianist terms.
ŋ	gida1240		Gidabal	Geytenbeek&Geytenbeek 1971	geytenbeek_gidabal_1971	Please see also the general comparative notes on Australian inventories. The place of articulation labeled 'dental' in Geytenbeek 1971 is 'apical' in standard Australianist terms.
m	gida1240		Gidabal	Geytenbeek&Geytenbeek 1971	geytenbeek_gidabal_1971	Please see also the general comparative notes on Australian inventories. The place of articulation labeled 'dental' in Geytenbeek 1971 is 'apical' in standard Australianist terms.
l̺	gida1240		Gidabal	Geytenbeek&Geytenbeek 1971	geytenbeek_gidabal_1971	Please see also the general comparative notes on Australian inventories. The place of articulation labeled 'dental' in Geytenbeek 1971 is 'apical' in standard Australianist terms.
r̺	gida1240		Gidabal	Geytenbeek&Geytenbeek 1971	geytenbeek_gidabal_1971	Please see also the general comparative notes on Australian inventories. The place of articulation labeled 'dental' in Geytenbeek 1971 is 'apical' in standard Australianist terms.
j	gida1240		Gidabal	Geytenbeek&Geytenbeek 1971	geytenbeek_gidabal_1971	Please see also the general comparative notes on Australian inventories. The place of articulation labeled 'dental' in Geytenbeek 1971 is 'apical' in standard Australianist terms.
w	gida1240		Gidabal	Geytenbeek&Geytenbeek 1971	geytenbeek_gidabal_1971	Please see also the general comparative notes on Australian inventories. The place of articulation labeled 'dental' in Geytenbeek 1971 is 'apical' in standard Australianist terms.
i	gida1240		Gidabal	Geytenbeek&Geytenbeek 1971	geytenbeek_gidabal_1971	Please see also the general comparative notes on Australian inventories. The place of articulation labeled 'dental' in Geytenbeek 1971 is 'apical' in standard Australianist terms.
iː	gida1240		Gidabal	Geytenbeek&Geytenbeek 1971	geytenbeek_gidabal_1971	Please see also the general comparative notes on Australian inventories. The place of articulation labeled 'dental' in Geytenbeek 1971 is 'apical' in standard Australianist terms.
u	gida1240		Gidabal	Geytenbeek&Geytenbeek 1971	geytenbeek_gidabal_1971	Please see also the general comparative notes on Australian inventories. The place of articulation labeled 'dental' in Geytenbeek 1971 is 'apical' in standard Australianist terms.
uː	gida1240		Gidabal	Geytenbeek&Geytenbeek 1971	geytenbeek_gidabal_1971	Please see also the general comparative notes on Australian inventories. The place of articulation labeled 'dental' in Geytenbeek 1971 is 'apical' in standard Australianist terms.
a	gida1240		Gidabal	Geytenbeek&Geytenbeek 1971	geytenbeek_gidabal_1971	Please see also the general comparative notes on Australian inventories. The place of articulation labeled 'dental' in Geytenbeek 1971 is 'apical' in standard Australianist terms.
aː	gida1240		Gidabal	Geytenbeek&Geytenbeek 1971	geytenbeek_gidabal_1971	Please see also the general comparative notes on Australian inventories. The place of articulation labeled 'dental' in Geytenbeek 1971 is 'apical' in standard Australianist terms.
e	gida1240		Gidabal	Geytenbeek&Geytenbeek 1971	geytenbeek_gidabal_1971	Please see also the general comparative notes on Australian inventories. The place of articulation labeled 'dental' in Geytenbeek 1971 is 'apical' in standard Australianist terms.
eː	gida1240		Gidabal	Geytenbeek&Geytenbeek 1971	geytenbeek_gidabal_1971	Please see also the general comparative notes on Australian inventories. The place of articulation labeled 'dental' in Geytenbeek 1971 is 'apical' in standard Australianist terms.
t̺	guwa1244		Guwar	Jefferies 2011	jefferies_guwar_2011	Please see also the general comparative notes on Australian inventories. This inventory is tentative. Inventory inferred from information in Jefferies 2011.
ȶ	guwa1244		Guwar	Jefferies 2011	jefferies_guwar_2011	Please see also the general comparative notes on Australian inventories. This inventory is tentative. Inventory inferred from information in Jefferies 2011.
k	guwa1244		Guwar	Jefferies 2011	jefferies_guwar_2011	Please see also the general comparative notes on Australian inventories. This inventory is tentative. Inventory inferred from information in Jefferies 2011.
p	guwa1244		Guwar	Jefferies 2011	jefferies_guwar_2011	Please see also the general comparative notes on Australian inventories. This inventory is tentative. Inventory inferred from information in Jefferies 2011.
n̺	guwa1244		Guwar	Jefferies 2011	jefferies_guwar_2011	Please see also the general comparative notes on Australian inventories. This inventory is tentative. Inventory inferred from information in Jefferies 2011.
ȵ	guwa1244		Guwar	Jefferies 2011	jefferies_guwar_2011	Please see also the general comparative notes on Australian inventories. This inventory is tentative. Inventory inferred from information in Jefferies 2011.
ŋ	guwa1244		Guwar	Jefferies 2011	jefferies_guwar_2011	Please see also the general comparative notes on Australian inventories. This inventory is tentative. Inventory inferred from information in Jefferies 2011.
m	guwa1244		Guwar	Jefferies 2011	jefferies_guwar_2011	Please see also the general comparative notes on Australian inventories. This inventory is tentative. Inventory inferred from information in Jefferies 2011.
l̺	guwa1244		Guwar	Jefferies 2011	jefferies_guwar_2011	Please see also the general comparative notes on Australian inventories. This inventory is tentative. Inventory inferred from information in Jefferies 2011.
r̺	guwa1244		Guwar	Jefferies 2011	jefferies_guwar_2011	Please see also the general comparative notes on Australian inventories. This inventory is tentative. Inventory inferred from information in Jefferies 2011.
ɹ̺	guwa1244		Guwar	Jefferies 2011	jefferies_guwar_2011	Please see also the general comparative notes on Australian inventories. This inventory is tentative. Inventory inferred from information in Jefferies 2011.
j	guwa1244		Guwar	Jefferies 2011	jefferies_guwar_2011	Please see also the general comparative notes on Australian inventories. This inventory is tentative. Inventory inferred from information in Jefferies 2011.
w	guwa1244		Guwar	Jefferies 2011	jefferies_guwar_2011	Please see also the general comparative notes on Australian inventories. This inventory is tentative. Inventory inferred from information in Jefferies 2011.
i	guwa1244		Guwar	Jefferies 2011	jefferies_guwar_2011	Please see also the general comparative notes on Australian inventories. This inventory is tentative. Inventory inferred from information in Jefferies 2011.
iː	guwa1244		Guwar	Jefferies 2011	jefferies_guwar_2011	Please see also the general comparative notes on Australian inventories. This inventory is tentative. Inventory inferred from information in Jefferies 2011.
u	guwa1244		Guwar	Jefferies 2011	jefferies_guwar_2011	Please see also the general comparative notes on Australian inventories. This inventory is tentative. Inventory inferred from information in Jefferies 2011.
uː	guwa1244		Guwar	Jefferies 2011	jefferies_guwar_2011	Please see also the general comparative notes on Australian inventories. This inventory is tentative. Inventory inferred from information in Jefferies 2011.
a	guwa1244		Guwar	Jefferies 2011	jefferies_guwar_2011	Please see also the general comparative notes on Australian inventories. This inventory is tentative. Inventory inferred from information in Jefferies 2011.
aː	guwa1244		Guwar	Jefferies 2011	jefferies_guwar_2011	Please see also the general comparative notes on Australian inventories. This inventory is tentative. Inventory inferred from information in Jefferies 2011.
t̺	minj1242		Minjungbal	Sharpe 2005	sharpe_grammar_2005	Please see also the general comparative notes on Australian inventories.
