LanguageCode	LanguageName	Phoneme	PhonemeOld	Allophones	AllophonesOld	Notes	NotesTwo
ajg	adja (Togo)	ɔ̃	ɔ̃			appparently all vowels can be nasalized	
ajg	adja (Togo)	ã	ã			appparently all vowels can be nasalized	
							
mtb	agni sanvi	ɪ	ɪ				
mtb	agni sanvi	ʊ	ʊ				
mtb	agni sanvi	ɡb	ɡb				
mtb	agni sanvi	d̠ʒ	ʤ				
mtb	agni sanvi	t̠ʃ	ʧ				
mtb	agni sanvi	kp	kp				
mtb	agni sanvi	ç	ç				
mtb	agni sanvi	ŋʷ	ŋw				
mtb	agni sanvi	ɔ	ɔ				
mtb	agni sanvi	ə	ə				compared to other Agni languagees, ʌ is used
mtb	agni sanvi	ɛ	ɛ				
mtb	agni sanvi	b	b				
mtb	agni sanvi	e	e				
mtb	agni sanvi	d	d				
mtb	agni sanvi	ɡ	ɡ				
mtb	agni sanvi	f	f	[f]	[f]		
mtb	agni sanvi	f	f	[v]	[v]		
mtb	agni sanvi	i	i				
mtb	agni sanvi	h	h				
mtb	agni sanvi	k	k				
mtb	agni sanvi	j	j				
mtb	agni sanvi	m	m				
mtb	agni sanvi	l	l				
mtb	agni sanvi	o	o				
mtb	agni sanvi	n	n				
mtb	agni sanvi	p	p				
mtb	agni sanvi	s	s	[s]	[s]		
mtb	agni sanvi	s	s	[z]	[z]		
mtb	agni sanvi	ɲ	ɲ				
mtb	agni sanvi	u	u				
mtb	agni sanvi	t	t				
mtb	agni sanvi	w	w				
mtb	agni sanvi	a	a				confirmed in Ahua 2004
mtb	agni sanvi	ĩ	ĩ				confirmed in Quaireau 1987
mtb	agni sanvi	ɪ̃	ɪ̃				confirmed in Quaireau 1987
mtb	agni sanvi	ə̃	ə̃				not in Quarieau 1987
mtb	agni sanvi	ũ	ũ				confirmed in Quaireau 1987
mtb	agni sanvi	ʊ̃	ʊ̃̃				confirmed in Quaireau 1987
mtb	agni sanvi	ã	ã				confirmed in Quaireau 1987
							
ahl	ahlõ	˦	˦			high; marked in AA	
ahl	ahlõ	˨	˨			low; marked in AA	
ahl	ahlõ	˧	˧			mid; marked in AA	
ahl	ahlõ	ɡb	ɡb				
ahl	ahlõ	d̠ʒ	ʤ				
ahl	ahlõ	t̠ʃ	ʧ				
ahl	ahlõ	kp	kp				
ahl	ahlõ	ŋ	ŋ				
ahl	ahlõ	ɔ	ɔ				
ahl	ahlõ	ɖ	ɖ				
ahl	ahlõ	ɛ	ɛ				
ahl	ahlõ	a	a				
ahl	ahlõ	b	b				
ahl	ahlõ	e	e				
ahl	ahlõ	d	d				
ahl	ahlõ	ɡ	ɡ				
ahl	ahlõ	f	f				
ahl	ahlõ	i	i				
ahl	ahlõ	h	h				
ahl	ahlõ	k	k				
ahl	ahlõ	j	j				
ahl	ahlõ	m	m				
ahl	ahlõ	l	l	[l]	[l]		
ahl	ahlõ	l	l	[r]	[r]		
ahl	ahlõ	o	o				
ahl	ahlõ	n	n				
ahl	ahlõ	p	p				
ahl	ahlõ	s	s				
ahl	ahlõ	ɲ	ɲ				
ahl	ahlõ	u	u				
ahl	ahlõ	t	t				
ahl	ahlõ	w	w				
ahl	ahlõ	v	v				
ahl	ahlõ	z	z				
							
aka	akan	˦	˦				Dolphyne lists only H and L tones
aka	akan	˨	˨				Dolphyne lists only H and L tones
aka	akan	ɪ	ɪ				
aka	akan	˧	˧				Dolphyne lists only H and L tones
aka	akan	ʊ	ʊ				
aka	akan	˦˨	˦˨				Dolphyne lists only H and L tones
aka	akan	ŋ	ŋ				
aka	akan	ɔ	ɔ				
aka	akan	ɛ	ɛ				
aka	akan	a	a				
aka	akan	b	b				
aka	akan	e	e				
aka	akan	d	d				
aka	akan	ɡ	ɡ				
aka	akan	f	f				
aka	akan	i	i				
aka	akan	h	h				
aka	akan	k	k				
aka	akan	j	j				
aka	akan	m	m				
aka	akan	l	l				
aka	akan	n	n			added based upon AA, not in Chanard	confirmed in Dolphyne
aka	akan	o	o				
aka	akan	p	p				
aka	akan	s	s				
aka	akan	r	r				
aka	akan	u	u				
aka	akan	t	t				
aka	akan	w	w				
aka	akan	kʷ	kw			is /w/ its own phoneme or is it labialization?	see new inventory
aka	akan	nʷ	nw			is /w/ its own phoneme or is it labialization?	see new inventory
							
bss	akɔɔse (bakossi)	˦	˦				Hedinger 2008: H, L, downstepped-H, HL, LH, H-downstepped-H, LHL
bss	akɔɔse (bakossi)	˨	˨				
bss	akɔɔse (bakossi)	˦˨	˦˨				
bss	akɔɔse (bakossi)	˨˦	˨˦				
bss	akɔɔse (bakossi)	ʔ	ʔ				
bss	akɔɔse (bakossi)	t̠ʃ	ʧ				
bss	akɔɔse (bakossi)	d̠ʒ	ʤ				added from Hedinger (2008)
bss	akɔɔse (bakossi)	nd	nd				
bss	akɔɔse (bakossi)	nz	nz				
bss	akɔɔse (bakossi)	ŋɡ	ŋɡ				
bss	akɔɔse (bakossi)	ɔ	ɔ				
bss	akɔɔse (bakossi)	ə	ə				
bss	akɔɔse (bakossi)	ɛ	ɛ				
bss	akɔɔse (bakossi)	a	a				
bss	akɔɔse (bakossi)	b	b				
bss	akɔɔse (bakossi)	e	e				
bss	akɔɔse (bakossi)	d	d				
bss	akɔɔse (bakossi)	ɡ	ɡ				
bss	akɔɔse (bakossi)	mb	mb				
bss	akɔɔse (bakossi)	i	i				
bss	akɔɔse (bakossi)	h	h				
bss	akɔɔse (bakossi)	k	k				
bss	akɔɔse (bakossi)	j	j				
bss	akɔɔse (bakossi)	m	m				
bss	akɔɔse (bakossi)	l	l				
bss	akɔɔse (bakossi)	o	o				
bss	akɔɔse (bakossi)	n	n				
bss	akɔɔse (bakossi)	p	p				
bss	akɔɔse (bakossi)	s	s				
bss	akɔɔse (bakossi)	ɲ	ɲ				
bss	akɔɔse (bakossi)	ŋ	ŋ				added from Hedinger 2008
bss	akɔɔse (bakossi)	u	u				
bss	akɔɔse (bakossi)	t	t				
bss	akɔɔse (bakossi)	w	w				
bss	akɔɔse (bakossi)	iː	iː				confirmed in Hedinger 2008
bss	akɔɔse (bakossi)	eː	eː				confirmed in Hedinger 2008
bss	akɔɔse (bakossi)	ɛː	ɛː				confirmed in Hedinger 2008
bss	akɔɔse (bakossi)	uː	uː				confirmed in Hedinger 2008
bss	akɔɔse (bakossi)	oː	oː				confirmed in Hedinger 2008
bss	akɔɔse (bakossi)	ɔː	ɔː				confirmed in Hedinger 2008
bss	akɔɔse (bakossi)	aː	aː				confirmed in Hedinger 2008
bss	akɔɔse (bakossi)	əː	əː				confirmed in Hedinger 2008
bss	akɔɔse (bakossi)	ɤː	ɤː				added from Hedinger 2008, no short counterpart
bss	akɔɔse (bakossi)	ɒː	ɒː				added from Hedinger 2008, no short counterpart
							
anc	angas	˦	˦				
anc	angas	˨	˨				
anc	angas	ʃ	ʃ				
anc	angas	˧	˧				
anc	angas	ʒ	ʒ				
anc	angas	ʔ	ʔ	[ʔ]	[ʔ]		only occurs word initially, voiced velar implosive is result of palatalized glottal stop (Burquest 1973)
anc	angas	ʔ	ʔ	[wˀ]	[ʔʷ]		only occurs word initially, voiced velar implosive is result of palatalized glottal stop (Burquest 1973)
anc	angas	ʔ	ʔ	[ɠ]	[ɠ]		only occurs word initially, voiced velar implosive is result of palatalized glottal stop (Burquest 1973)
anc	angas	d̠ʒ	ʤ				
anc	angas	t̠ʃ	ʧ				
anc	angas	ɨ	ɨ				Burquest 1971
anc	angas	ŋ	ŋ	[ŋ]	[ŋ]		ŋ̯y appears in Hartell; Burquest 1971 looks like an allophone of ŋ
anc	angas	ŋ	ŋ	[ŋʲ]	[ŋʲ]		ŋ̯y appears in Hartell; Burquest 1971 looks like an allophone of ŋ
anc	angas	ɓ	ɓ	[ɓ]	[ɓ]		
anc	angas	ɓ	ɓ	[mɓ]	[mɓ]		
anc	angas	ɓ	ɓ	[bʷ]	[bʷ]		
anc	angas	ɗ	ɗ	[ɗ]	[ɗ]		
anc	angas	ɗ	ɗ	[nɗ]	[nɗ]		
anc	angas	ɗ	ɗ	[ɗʷ]	[ɗʷ]		
anc	angas	ɛ	ɛ				
anc	angas	a	a				
anc	angas	ɣ	ɣ				
anc	angas	b	b	[b]	[b]		
anc	angas	b	b	[mb]	[mb]		
anc	angas	b	b	[bʷ]	[bʷ]		
anc	angas	b	b	[bʲ]	[bʲ]		
anc	angas	e	e				
anc	angas	d	d	[d]	[d]		
anc	angas	d	d	[nd]	[nd]		
anc	angas	d	d	[dʷ]	[dʷ]		
anc	angas	d	d	[dʲ]	[dʲ]		
anc	angas	ɡ	ɡ	[ɡ]	[ɡ]	unclear if ɡ̌y is an allophone of /g/ or separate phoneme.  What sound is it meant to represent?	not apparent from Burquest 1971 what [ɡ̌y] is from Hartell 1993, this is addressed above for palatal glottal stop
anc	angas	ɡ	ɡ	[ŋɡ]	[ŋɡ]	unclear if ɡ̌y is an allophone of /g/ or separate phoneme.  What sound is it meant to represent?	not apparent from Burquest 1971 what [ɡ̌y] is from Hartell 1993, this is addressed above for palatal glottal stop
anc	angas	ɡ	ɡ	[ɡʷ]	[ɡʷ]	unclear if ɡ̌y is an allophone of /g/ or separate phoneme.  What sound is it meant to represent?	not apparent from Burquest 1971 what [ɡ̌y] is from Hartell 1993, this is addressed above for palatal glottal stop
anc	angas	f	f	[f]	[f]		
anc	angas	f	f	[fʷ]	[fʷ]		
anc	angas	i	i				
anc	angas	h	h				
anc	angas	k	k	[k]	[k]		
anc	angas	k	k	[ŋk]	[ŋk]		
anc	angas	k	k	[kʷ]	[kʷ]		
anc	angas	k	k	[kʲ]	[kʲ]		
anc	angas	m	m	[m]	[m]		
anc	angas	m	m	[mʷ]	[mʷ]		
anc	angas	m	m	[mʲ]	[mʲ]		
anc	angas	l	l				
anc	angas	o	o				
anc	angas	n	n	[n]	[n]		
anc	angas	n	n	[nʷ]	[nʷ]		
anc	angas	p	p	[p]	[p]		
anc	angas	p	p	[pʷ]	[pʷ]		
anc	angas	p	p	[pʲ]	[pʲ]		
anc	angas	s	s	[s]	[s]		
anc	angas	s	s	[ns]	[ns]		
anc	angas	s	s	[sʷ]	[sʷ]		
anc	angas	s	s	[sʲ]	[sʲ]		
anc	angas	r	r	[r]	[r]		
anc	angas	r	r	[rʷ]	[rʷ]		
anc	angas	u	u				
anc	angas	t	t	[t]	[t]		
anc	angas	t	t	[tʷ]	[tʷ]		
anc	angas	t	t	[tʲ]	[tʲ]		
anc	angas	v	v	[v]	[v]		
anc	angas	v	v	[vʷ]	[vʷ]		
anc	angas	z	z	[z]	[z]		
anc	angas	z	z	[nz]	[nz]		
anc	angas	z	z	[zʷ]	[zʷ]		
anc	angas	z	z	[zʲ]	[zʲ]		
anc	angas	ɨ	ɨ				Burquest 1971
anc	angas	ɨː	ɨː				
anc	angas	aː	aː				
							
cko	anufɔ 	˦	˦				
cko	anufɔ 	˨	˨				
cko	anufɔ 	ɡb	ɡb				
cko	anufɔ 	d̠ʒ	ʤ				ɟ in Stanford 1970
cko	anufɔ 	t̠ʃ	ʧ				c in Stanford 1970
cko	anufɔ 	kp	kp				
cko	anufɔ 	ŋ	ŋ				
cko	anufɔ 	ŋm	ŋm				
cko	anufɔ 	ɔ	ɔ				
cko	anufɔ 	ɛ	ɛ				
cko	anufɔ 	a	a				
cko	anufɔ 	ʃ	ʃ				
cko	anufɔ 	b	b				
cko	anufɔ 	e	e				
cko	anufɔ 	d	d				
cko	anufɔ 	ɡ	ɡ				
cko	anufɔ 	f	f	[f]	[f]		allophones confirmed in Smye 2004
cko	anufɔ 	f	f	[v]	[v]		allophones confirmed in Smye 2004
cko	anufɔ 	i	i				
cko	anufɔ 	h	h				
cko	anufɔ 	k	k				
cko	anufɔ 	j	j				
cko	anufɔ 	m	m				
cko	anufɔ 	l	l	[l]	[l]		allophones confirmed in Smye 2004
cko	anufɔ 	l	l	[r]	[r]		allophones confirmed in Smye 2004
cko	anufɔ 	o	o				
cko	anufɔ 	n	n	[n]	[n]		
cko	anufɔ 	n	n	[ɲ]	[ɲ]		
cko	anufɔ 	p	p				
cko	anufɔ 	s	s	[s]	[s]		Smye 2004
cko	anufɔ 	s	s	[z]	[z]		Smye 2004
cko	anufɔ 	s	s	[ʃ]	[ʃ]		Smye 2004
cko	anufɔ 	s	s	[ʒ]	[ʒ]		Smye 2004
cko	anufɔ 	ɲ	ɲ				
cko	anufɔ 	u	u				
cko	anufɔ 	t	t				
cko	anufɔ 	w	w				
cko	anufɔ 	iː	iː			all vowels have a phonemic long counterpart	long vowels not described in Smye 2004
cko	anufɔ 	eː	eː			all vowels have a phonemic long counterpart	long vowels not described in Smye 2004
cko	anufɔ 	ɛː	ɛː			all vowels have a phonemic long counterpart	long vowels not described in Smye 2004
cko	anufɔ 	uː	uː			all vowels have a phonemic long counterpart	long vowels not described in Smye 2004
cko	anufɔ 	oː	oː			all vowels have a phonemic long counterpart	long vowels not described in Smye 2004
cko	anufɔ 	ɔː	ɔː			all vowels have a phonemic long counterpart	long vowels not described in Smye 2004
cko	anufɔ 	aː	aː			all vowels have a phonemic long counterpart	long vowels not described in Smye 2004
cko	anufɔ 	ĩ	ĩ				
cko	anufɔ 	ɛ̃	ɛ̃				
cko	anufɔ 	ũ	ũ				
cko	anufɔ 	ɔ̃	ɔ̃				
cko	anufɔ 	ã	ã				
							
apd	arabe	ʃ	ʃ				
apd	arabe	zˤ	zˤ				
apd	arabe	ʕ	ʕ				
apd	arabe	ʔ	ʔ				
apd	arabe	d̠ʒ	ʤ				
apd	arabe	ħ	ħ				
apd	arabe	tˤ	tˤ				
apd	arabe	eː	eː			no short counterpart	
apd	arabe	x	x			written as /χ/ in Chanard	
apd	arabe	dˤ	dˤ				
apd	arabe	oː	oː			no short counterpart	
apd	arabe	a	a				
apd	arabe	aː	aː				
apd	arabe	ɣ	ɣ				
apd	arabe	b	b				
apd	arabe	d	d				
apd	arabe	ɡ	ɡ				
apd	arabe	f	f				
apd	arabe	i	i				
apd	arabe	iː	iː				
apd	arabe	h	h				
apd	arabe	k	k				
apd	arabe	j	j				
apd	arabe	m	m				
apd	arabe	l	l				
apd	arabe	n	n				
apd	arabe	s	s				
apd	arabe	r	r				
apd	arabe	u	u				
apd	arabe	uː	uː				
apd	arabe	t	t				
apd	arabe	w	w				
apd	arabe	<v>	v			only in borrowed words	marginal phoneme
apd	arabe	z	z				
apd	arabe	sˤ	sˤ				
apd	arabe	ʃː	ʃː			apparently all consonants can be geminate	
apd	arabe	zˤː	zˤː			apparently all consonants can be geminate	
apd	arabe	ʕː	ʕː			apparently all consonants can be geminate	
apd	arabe	ʔː	ʔː			apparently all consonants can be geminate	
apd	arabe	d̠ʒː	ʤː			apparently all consonants can be geminate	
apd	arabe	ħː	ħː			apparently all consonants can be geminate	
apd	arabe	tˤː	tˤː			apparently all consonants can be geminate	
apd	arabe	xː	xː			apparently all consonants can be geminate; written as /χ/ in Chanard	
apd	arabe	dˤː	dˤː			apparently all consonants can be geminate	
