InventoryID	LanguageCode	LanguageName	Phoneme	PhonemeOld	Allophones	AllophonesOld	Notes	NotesTwo
	bbo	Bobo (Boomu)	ẽ	ẽ			all short vowels have a phonemic nasal counterpart
	bbo	Bobo (Boomu)	ɛ̃	ɛ̃			all short vowels have a phonemic nasal counterpart
	bbo	Bobo (Boomu)	ũ	ũ			all short vowels have a phonemic nasal counterpart
	bbo	Bobo (Boomu)	õ	õ			all short vowels have a phonemic nasal counterpart
	bbo	Bobo (Boomu)	ã	ã			all short vowels have a phonemic nasal counterpart

682	bqc	Boussa (Boko)	˦	˦
	bqc	Boussa (Boko)	˨	˨				Hartell 1993: low (other tones unmarked)
	bqc	Boussa (Boko)	˧	˧
	bqc	Boussa (Boko)	ʔ	ʔ
	bqc	Boussa (Boko)	ɔ	ɔ
	bqc	Boussa (Boko)	ɛ	ɛ
	bqc	Boussa (Boko)	a	a
	bqc	Boussa (Boko)	b	b
	bqc	Boussa (Boko)	e	e
	bqc	Boussa (Boko)	d	d
	bqc	Boussa (Boko)	ɡ	ɡ
	bqc	Boussa (Boko)	f	f
	bqc	Boussa (Boko)	i	i
	bqc	Boussa (Boko)	h	h
	bqc	Boussa (Boko)	k	k
	bqc	Boussa (Boko)	j	j
	bqc	Boussa (Boko)	m	m
	bqc	Boussa (Boko)	l	l
	bqc	Boussa (Boko)	o	o
	bqc	Boussa (Boko)	n	n
	bqc	Boussa (Boko)	p	p
	bqc	Boussa (Boko)	s	s
	bqc	Boussa (Boko)	kp	kp
	bqc	Boussa (Boko)	u	u
	bqc	Boussa (Boko)	t	t
	bqc	Boussa (Boko)	w	w
	bqc	Boussa (Boko)	v	v
	bqc	Boussa (Boko)	z	z
	bqc	Boussa (Boko)	ɡb	ɡb
	bqc	Boussa (Boko)	ĩ	ĩ
	bqc	Boussa (Boko)	ɛ̃	ɛ̃
	bqc	Boussa (Boko)	ũ	ũ
	bqc	Boussa (Boko)	ɔ̃	ɔ̃
	bqc	Boussa (Boko)	ã	ã

683	bzx	Bozo	d̠ʒ	ʤ
	bzx	Bozo	t̠ʃ	ʧ
	bzx	Bozo	r	r
	bzx	Bozo	χ	χ
	bzx	Bozo	ŋ	ŋ
	bzx	Bozo	ɔ	ɔ
	bzx	Bozo	ɛ	ɛ
	bzx	Bozo	a	a
	bzx	Bozo	b	b
	bzx	Bozo	e	e
	bzx	Bozo	d	d
	bzx	Bozo	ɡ	ɡ
	bzx	Bozo	f	f
	bzx	Bozo	i	i
	bzx	Bozo	h	h
	bzx	Bozo	k	k
	bzx	Bozo	j	j
	bzx	Bozo	m	m
	bzx	Bozo	l	l
	bzx	Bozo	o	o
	bzx	Bozo	n	n
	bzx	Bozo	p	p
	bzx	Bozo	s	s
	bzx	Bozo	ɲ	ɲ
	bzx	Bozo	u	u
	bzx	Bozo	t	t
	bzx	Bozo	w	w
	bzx	Bozo	iː	iː			all vowels have a phonemic long counterpart
	bzx	Bozo	eː	eː			all vowels have a phonemic long counterpart
	bzx	Bozo	ɛː	ɛː			all vowels have a phonemic long counterpart
	bzx	Bozo	uː	uː			all vowels have a phonemic long counterpart
	bzx	Bozo	oː	oː			all vowels have a phonemic long counterpart
	bzx	Bozo	ɔː	ɔː			all vowels have a phonemic long counterpart
	bzx	Bozo	aː	aː			all vowels have a phonemic long counterpart

684	bum	Bulu	˦	˦
	bum	Bulu	˨	˨			unmarked
	bum	Bulu	˦˨	˦˨
	bum	Bulu	˧	˧
	bum	Bulu	ɱv	mv
	bum	Bulu	˨˦	˨˦
	bum	Bulu	ʔ	ʔ
	bum	Bulu	mb	mb
	bum	Bulu	nd	nd
	bum	Bulu	kp	kp
	bum	Bulu	ŋmɡb	ŋɡb
	bum	Bulu	ŋɡ	ŋɡ
	bum	Bulu	ŋ	ŋ
	bum	Bulu	ɔ	ɔ
	bum	Bulu	ə	ə
	bum	Bulu	ɟ	ɟ
	bum	Bulu	a	a
	bum	Bulu	c	c
	bum	Bulu	b	b
	bum	Bulu	e	e
	bum	Bulu	d	d
	bum	Bulu	f	f
	bum	Bulu	i	i
	bum	Bulu	k	k
	bum	Bulu	j	j
	bum	Bulu	m	m
	bum	Bulu	l	l
	bum	Bulu	o	o
	bum	Bulu	n	n
	bum	Bulu	s	s
	bum	Bulu	ɲ	ɲ
	bum	Bulu	u	u
	bum	Bulu	t	t
	bum	Bulu	w	w
	bum	Bulu	v	v
	bum	Bulu	z	z

685	cme	Cerma	˦	˦
	cme	Cerma	˨	˨
	cme	Cerma	˦˨	˦˨
	cme	Cerma	˨˦	˨˦
	cme	Cerma	ɡb	ɡb
	cme	Cerma	d̠ʒ	ʤ
	cme	Cerma	t̠ʃ	ʧ
	cme	Cerma	kp	kp
	cme	Cerma	ŋ	ŋ
	cme	Cerma	ɔ	ɔ
	cme	Cerma	ɛ	ɛ
	cme	Cerma	a	a
	cme	Cerma	b	b
	cme	Cerma	e	e
	cme	Cerma	d	d
	cme	Cerma	ɡ	ɡ
	cme	Cerma	f	f
	cme	Cerma	i	i
	cme	Cerma	h	h
	cme	Cerma	k	k
	cme	Cerma	j	j	[j]	j,ɲ
	cme	Cerma	j	j	[ɲ]	j,ɲ
	cme	Cerma	m	m
	cme	Cerma	l	l
	cme	Cerma	o	o
	cme	Cerma	n	n
	cme	Cerma	p	p
	cme	Cerma	s	s
	cme	Cerma	r	r
	cme	Cerma	u	u
	cme	Cerma	t	t
	cme	Cerma	w	w
	cme	Cerma	v	v
	cme	Cerma	iː	iː			all vowels have a phonemic long counterpart
	cme	Cerma	eː	eː			all vowels have a phonemic long counterpart
	cme	Cerma	ɛː	ɛː			all vowels have a phonemic long counterpart
	cme	Cerma	uː	uː			all vowels have a phonemic long counterpart
	cme	Cerma	oː	oː			all vowels have a phonemic long counterpart
	cme	Cerma	ɔː	ɔː			all vowels have a phonemic long counterpart
	cme	Cerma	aː	aː			all vowels have a phonemic long counterpart
	cme	Cerma	ĩ	ĩ			all short vowels have a phonemic nasal counterpart
	cme	Cerma	ẽ	ẽ			all short vowels have a phonemic nasal counterpart
	cme	Cerma	ɛ̃	ɛ̃			all short vowels have a phonemic nasal counterpart
	cme	Cerma	ũ	ũ			all short vowels have a phonemic nasal counterpart
	cme	Cerma	õ	õ			all short vowels have a phonemic nasal counterpart
	cme	Cerma	ɔ̃	ɔ̃			all short vowels have a phonemic nasal counterpart
	cme	Cerma	ã	ã			all short vowels have a phonemic nasal counterpart

686	ncu	Chumburung	ɪ	ɪ
	ncu	Chumburung	ʊ	ʊ
	ncu	Chumburung	d̠ʒ	ʤ			changed to IPA represented in AA
	ncu	Chumburung	ɡb	ɡb
	ncu	Chumburung	ɲ	ɲ			changed to IPA represented in AA
	ncu	Chumburung	kp	kp
	ncu	Chumburung	ŋ	ŋ
	ncu	Chumburung	ɔ	ɔ
	ncu	Chumburung	ɛ	ɛ
	ncu	Chumburung	a	a
	ncu	Chumburung	b	b
	ncu	Chumburung	e	e
	ncu	Chumburung	d	d
	ncu	Chumburung	<ɡ>	ɡ			only in borrowed words	marginal phoneme
	ncu	Chumburung	f	f
	ncu	Chumburung	i	i
	ncu	Chumburung	<h>	h			only in borrowed words	marginal phoneme
	ncu	Chumburung	k	k
	ncu	Chumburung	j	j
	ncu	Chumburung	m	m
	ncu	Chumburung	l	l
	ncu	Chumburung	o	o
	ncu	Chumburung	n	n
	ncu	Chumburung	p	p
	ncu	Chumburung	s	s
	ncu	Chumburung	r	r
	ncu	Chumburung	u	u
	ncu	Chumburung	t	t
	ncu	Chumburung	w	w
	ncu	Chumburung	t̠ʃ	ʧ			changed to IPA represented in AA

687	dbq	Daba	˦	˦
	dbq	Daba	˨	˨
	dbq	Daba	β	β			changed to IPA
	dbq	Daba	˦˨	˦˨
	dbq	Daba	˧	˧
	dbq	Daba	n̠d̠ʒ	nʤ
	dbq	Daba	˨˦	˨˦
	dbq	Daba	l	l
	dbq	Daba	ɡb	ɡb
	dbq	Daba	ɮ	ɮ
	dbq	Daba	kp	kp
	dbq	Daba	mb	mb
	dbq	Daba	d̠ʒ	ʤ
	dbq	Daba	t̠ʃ	ʧ
	dbq	Daba	nd	nd
	dbq	Daba	ŋɡʷ	nɡw			not in AA, only in Chanard
	dbq	Daba	kʷ	kw			not in AA, only in Chanard
	dbq	Daba	ŋmɡb	mɡb
	dbq	Daba	ɡʷ	ɡw			not in AA, only in Chanard
	dbq	Daba	ɨ	ɨ
	dbq	Daba	ʔʷ	ʔw			see also DabaOrthography2009u.pdf for glottalized vs pre-glottalized
	dbq	Daba	ŋ	ŋ
	dbq	Daba	ɥ	hw			not in AA, only in Chanard
	dbq	Daba	ɓ	ɓ
	dbq	Daba	ɗ	ɗ
	dbq	Daba	a	a
	dbq	Daba	b	b
	dbq	Daba	e	e
	dbq	Daba	d	d
	dbq	Daba	ɡ	ɡ
	dbq	Daba	f	f
	dbq	Daba	i	i
	dbq	Daba	h	h
	dbq	Daba	k	k
	dbq	Daba	j	j
	dbq	Daba	m	m
	dbq	Daba	ɬ	ɬ
	dbq	Daba	o	o
	dbq	Daba	n	n
	dbq	Daba	p	p
	dbq	Daba	s	s
	dbq	Daba	r	r
	dbq	Daba	u	u
	dbq	Daba	t	t
	dbq	Daba	w	w
	dbq	Daba	v	v
	dbq	Daba	z	z

688	dga	Dagaare	↓	↓			Downstep tone (!)
	dga	Dagaare	˦	˦
	dga	Dagaare	˨	˨
	dga	Dagaare	ɪ	ɪ
	dga	Dagaare	ʊ	ʊ
	dga	Dagaare	d̠ʒ	ʤ
	dga	Dagaare	ɡb	ɡb
	dga	Dagaare	kp	kp
	dga	Dagaare	ŋ	ŋ
	dga	Dagaare	ŋm	ŋm
	dga	Dagaare	ɛ	ɛ
	dga	Dagaare	a	a
	dga	Dagaare	b	b
	dga	Dagaare	ɓ	ɓ			added from AA, not listed in Chanard
	dga	Dagaare	e	e
	dga	Dagaare	d	d
	dga	Dagaare	ɡ	ɡ
	dga	Dagaare	f	f
	dga	Dagaare	i	i
	dga	Dagaare	h	h
	dga	Dagaare	k	k
	dga	Dagaare	j	j
	dga	Dagaare	m	m
	dga	Dagaare	l	l
	dga	Dagaare	o	o
	dga	Dagaare	ɔ	ɔ			added from AA, not listed in Chanard
	dga	Dagaare	n	n
	dga	Dagaare	p	p
	dga	Dagaare	s	s
	dga	Dagaare	ɲ	ɲ
	dga	Dagaare	u	u
	dga	Dagaare	t	t
	dga	Dagaare	w	w
	dga	Dagaare	v	v
	dga	Dagaare	t̠ʃ	ʧ
	dga	Dagaare	z	z
	dga	Dagaare	iː	iː			all vowels have a phonemic long counterpart
	dga	Dagaare	ɪː	ɪː			all vowels have a phonemic long counterpart
	dga	Dagaare	eː	eː			all vowels have a phonemic long counterpart
	dga	Dagaare	ɛː	ɛː			all vowels have a phonemic long counterpart
	dga	Dagaare	uː	uː			all vowels have a phonemic long counterpart
	dga	Dagaare	ʊː	ʊː			all vowels have a phonemic long counterpart
	dga	Dagaare	oː	oː			all vowels have a phonemic long counterpart
	dga	Dagaare	ɔː	ɔː			all vowels have a phonemic long counterpart
	dga	Dagaare	aː	aː			all vowels have a phonemic long counterpart
	dga	Dagaare	ĩ	ĩ			all short vowels have a phonemic nasal counterpart
	dga	Dagaare	ɪ̃	ɪ̃			all short vowels have a phonemic nasal counterpart
	dga	Dagaare	ẽ	ẽ			all short vowels have a phonemic nasal counterpart
	dga	Dagaare	ɛ̃	ɛ̃			all short vowels have a phonemic nasal counterpart
	dga	Dagaare	ũ	ũ			all short vowels have a phonemic nasal counterpart
	dga	Dagaare	ʊ̃	ʊ̃̃			all short vowels have a phonemic nasal counterpart
	dga	Dagaare	õ	õ			all short vowels have a phonemic nasal counterpart
	dga	Dagaare	ɔ̃	ɔ̃			all short vowels have a phonemic nasal counterpart
	dga	Dagaare	ã	ã			all short vowels have a phonemic nasal counterpart

689	dgi	Dagara	˦	˦
	dgi	Dagara	˨	˨
	dgi	Dagara	˦˨	˦˨
	dgi	Dagara	ɪ	ɪ
	dgi	Dagara	ʊ	ʊ
	dgi	Dagara	ʔ	ʔ
	dgi	Dagara	kp	kp
	dgi	Dagara	d̠ʒ	ʤ
	dgi	Dagara	t̠ʃ	ʧ
	dgi	Dagara	lʔ	l			see also Dagaare_1997_Bodomo.pdf	replaced superscript glottal stop with ʔ
	dgi	Dagara	ʔʷ	ʔw				replaced superscript glottal stop with ʔ
	dgi	Dagara	ʔʲ	ʔj				replaced superscript glottal stop with ʔ
	dgi	Dagara	ɡb	ɡb
	dgi	Dagara	ŋ	ŋ
	dgi	Dagara	ŋm	ŋm
	dgi	Dagara	ɓ	ɓ				ʔb in dgi-2.pdf
	dgi	Dagara	ɔ	ɔ
	dgi	Dagara	ɦ	ɦ
	dgi	Dagara	ɛ	ɛ
	dgi	Dagara	a	a
	dgi	Dagara	b	b	[b]	w
	dgi	Dagara	b	b	[w]	w
	dgi	Dagara	e	e
	dgi	Dagara	d	d	[d]	ɾ
	dgi	Dagara	ɡ	ɡ	[ɡ]	ɣ
	dgi	Dagara	d	d	[ɾ]	ɾ
	dgi	Dagara	ɡ	ɡ	[ɣ]	ɣ
	dgi	Dagara	f	f
	dgi	Dagara	i	i
	dgi	Dagara	h	h
	dgi	Dagara	k	k
	dgi	Dagara	j	j
	dgi	Dagara	m	m
	dgi	Dagara	l	l
	dgi	Dagara	o	o
	dgi	Dagara	n	n
	dgi	Dagara	p	p
	dgi	Dagara	s	s
	dgi	Dagara	ɲ	ɲ
	dgi	Dagara	u	u
	dgi	Dagara	t	t	[t]	r
	dgi	Dagara	t	t	[r]	r
	dgi	Dagara	w	w
	dgi	Dagara	v	v
	dgi	Dagara	z	z

690	dag	Dagbani	˦	˦
	dag	Dagbani	˨	˨
	dag	Dagbani	ɡb	ɡb
	dag	Dagbani	d̠ʒ	ʤ
	dag	Dagbani	t̠ʃ	ʧ
	dag	Dagbani	kp	kp
	dag	Dagbani	ŋ	ŋ
	dag	Dagbani	ŋm	ŋm
	dag	Dagbani	a	a
	dag	Dagbani	b	b
	dag	Dagbani	e	e
	dag	Dagbani	d	d
	dag	Dagbani	ɡ	ɡ	[ɡ]	ɡ,ɣ
	dag	Dagbani	ɡ	ɡ	[ɣ]	ɡ,ɣ
	dag	Dagbani	f	f
	dag	Dagbani	i	i
	dag	Dagbani	ɨ	ɨ
	dag	Dagbani	k	k
	dag	Dagbani	j	j
	dag	Dagbani	m	m
	dag	Dagbani	l	l
	dag	Dagbani	o	o
	dag	Dagbani	n	n
	dag	Dagbani	p	p
	dag	Dagbani	s	s	[s]	s,ʃ
	dag	Dagbani	s	s	[ʃ]	s,ʃ
	dag	Dagbani	ɲ	ɲ
	dag	Dagbani	u	u
	dag	Dagbani	t	t
	dag	Dagbani	w	w
	dag	Dagbani	v	v
	dag	Dagbani	z	z	[z]	z,ʒ
	dag	Dagbani	z	z	[ʒ]	z,ʒ
	dag	Dagbani	h	h			added from AA, not in Chanard

691	dnj	Dan	˦	˦
	dnj	Dan	˨	˨
	dnj	Dan	˦˨	˦˨			in Chanard, not in AA
	dnj	Dan	˧	˧			unmarked
	dnj	Dan	æ	æ
	dnj	Dan	ʌ	ʌ
	dnj	Dan	ɯ	ɯ
	dnj	Dan	kʷ	kw
	dnj	Dan	ɡʷ	ɡw
	dnj	Dan	ŋ	ŋ
	dnj	Dan	˨˦	˨˦			in Chanard, not in AA
	dnj	Dan	ɓ	ɓ
	dnj	Dan	ɒ	ɒ
	dnj	Dan	ɔ	ɔ
	dnj	Dan	ɗ	ɗ
	dnj	Dan	ɛ	ɛ
	dnj	Dan	ɤ	ɤ
	dnj	Dan	a	a
	dnj	Dan	b	b
	dnj	Dan	e	e
	dnj	Dan	d	d
	dnj	Dan	ɡ	ɡ
	dnj	Dan	f	f
	dnj	Dan	i	i
	dnj	Dan	k	k
	dnj	Dan	j	j
	dnj	Dan	l	l	[l]	l,r
	dnj	Dan	l	l	[r]	l,r
	dnj	Dan	o	o
	dnj	Dan	p	p
	dnj	Dan	s	s
	dnj	Dan	kp	kp
	dnj	Dan	u	u
	dnj	Dan	t	t
	dnj	Dan	w	w
	dnj	Dan	v	v
	dnj	Dan	z	z
	dnj	Dan	ɡb	ɡb
	dnj	Dan	æ̃	æ̃			all vowels have a phonemic nasal counterpart
	dnj	Dan	ʌ̃	ʌ̃			all vowels have a phonemic nasal counterpart
	dnj	Dan	ɯ̃	ɯ̃			all vowels have a phonemic nasal counterpart
	dnj	Dan	ɒ̃	ɒ̃			all vowels have a phonemic nasal counterpart
	dnj	Dan	ɔ̃	ɔ̃			all vowels have a phonemic nasal counterpart
	dnj	Dan	ã	ã			all vowels have a phonemic nasal counterpart
	dnj	Dan	ɛ̃	ɛ̃			all vowels have a phonemic nasal counterpart
	dnj	Dan	ẽ	ẽ			all vowels have a phonemic nasal counterpart
	dnj	Dan	ĩ	ĩ			all vowels have a phonemic nasal counterpart
	dnj	Dan	ɤ̃	ɤ̃			all vowels have a phonemic nasal counterpart
	dnj	Dan	õ	õ			all vowels have a phonemic nasal counterpart

692	ada	Dangme	↓	↓			Downstep tone (!)	Downstep tone (!)
	ada	Dangme	˦	˦			Tone is not written.
	ada	Dangme	˨	˨			Tone is not written.
	ada	Dangme	˧	˧
	ada	Dangme	ɡb	ɡb
	ada	Dangme	d̠ʒ	ʤ
	ada	Dangme	t̠ʃ	ʧ
	ada	Dangme	kp	kp
	ada	Dangme	ŋ	ŋ
	ada	Dangme	ŋm	ŋm
	ada	Dangme	ɔ	ɔ
	ada	Dangme	ɛ	ɛ
	ada	Dangme	a	a
	ada	Dangme	b	b
	ada	Dangme	e	e
	ada	Dangme	d	d
	ada	Dangme	ɡ	ɡ
	ada	Dangme	f	f
	ada	Dangme	i	i
	ada	Dangme	h	h
	ada	Dangme	k	k
	ada	Dangme	j	j
	ada	Dangme	m	m
	ada	Dangme	l	l
	ada	Dangme	o	o
	ada	Dangme	n	n
	ada	Dangme	p	p
	ada	Dangme	s	s
	ada	Dangme	ɲ	ɲ
	ada	Dangme	u	u
	ada	Dangme	t	t
	ada	Dangme	w	w
	ada	Dangme	v	v
	ada	Dangme	z	z
	ada	Dangme	ĩ	ĩ			vowels have a phonemic nasal counterpart except /e/ and /o/
	ada	Dangme	ɛ̃	ɛ̃			vowels have a phonemic nasal counterpart except /e/ and /o/
	ada	Dangme	ũ	ũ			vowels have a phonemic nasal counterpart except /e/ and /o/
	ada	Dangme	ɔ̃	ɔ̃			vowels have a phonemic nasal counterpart except /e/ and /o/
	ada	Dangme	ã	ã			vowels have a phonemic nasal counterpart except /e/ and /o/

693	dzg	Daza	ʃ	ʃ
	dzg	Daza	ʉ	ʉ			discrepancy between AA and Chanard, two versions of /a/ are given, one may be ʉ	what to do in this case? Another error in Chanard?
	dzg	Daza	ʊ	ʊ			added from AA, not in Chanard
	dzg	Daza	d̠ʒ	ʤ
	dzg	Daza	t̠ʃ	ʧ
	dzg	Daza	r	r
	dzg	Daza	ɪ	ɪ
	dzg	Daza	ŋ	ŋ
	dzg	Daza	ɔ	ɔ
	dzg	Daza	ə	ə
	dzg	Daza	ɛ	ɛ
	dzg	Daza	a	a
	dzg	Daza	b	b
	dzg	Daza	e	e
	dzg	Daza	d	d
	dzg	Daza	ɡ	ɡ			not in AA, only in Chanard	remove
	dzg	Daza	f	f
	dzg	Daza	i	i
	dzg	Daza	h	h
	dzg	Daza	k	k
	dzg	Daza	j	j
	dzg	Daza	m	m
	dzg	Daza	l	l
	dzg	Daza	o	o
	dzg	Daza	n	n
	dzg	Daza	p	p
	dzg	Daza	s	s
	dzg	Daza	ɲ	ɲ
	dzg	Daza	u	u
	dzg	Daza	t	t
	dzg	Daza	w	w
	dzg	Daza	z	z

694	luo	Dholuo	˦	˦				Owino 2003
	luo	Dholuo	˧	˧				Owino 2003
	luo	Dholuo	˨	˨	[˨]	˦˨		Owino 2003
	luo	Dholuo	˨	˨	[˦˨]	˦˨		Owino 2003
	luo	Dholuo	ɪ	ɪ
	luo	Dholuo	ʊ	ʊ
	luo	Dholuo	ɲɟ	nɟ
	luo	Dholuo	mb	mb
	luo	Dholuo	p	p
	luo	Dholuo	nd	nd
	luo	Dholuo	ɲ	ɲ			replaced with standard IPA	mistake in Chanard /ny/
	luo	Dholuo	nð	nð
	luo	Dholuo	θ	θ
	luo	Dholuo	ŋɡ	ŋɡ
	luo	Dholuo	ŋ	ŋ
	luo	Dholuo	ɔ	ɔ
	luo	Dholuo	ɛ	ɛ
	luo	Dholuo	ɟ	ɟ
	luo	Dholuo	a	a
	luo	Dholuo	c	c
	luo	Dholuo	b	b
	luo	Dholuo	e	e
	luo	Dholuo	d	d
	luo	Dholuo	ɡ	ɡ
	luo	Dholuo	f	f
	luo	Dholuo	i	i
	luo	Dholuo	h	h
	luo	Dholuo	k	k
	luo	Dholuo	j	j
	luo	Dholuo	m	m
	luo	Dholuo	l	l
	luo	Dholuo	o	o
	luo	Dholuo	n	n
	luo	Dholuo	ð	ð
	luo	Dholuo	s	s
	luo	Dholuo	r	r
	luo	Dholuo	u	u
	luo	Dholuo	t	t
	luo	Dholuo	w	w

695	dic	dida	˦	˦
	dic	Dida	˨	˨
	dic	Dida	ɪ	ɪ
	dic	Dida	˧	˧			unmarked
	dic	Dida	ʊ	ʊ
	dic	Dida	ɡb	ɡb
	dic	Dida	kp	kp
	dic	Dida	kʷ	kw
	dic	Dida	ɡʷ	ɡw
	dic	Dida	ŋ	ŋ
	dic	Dida	ɣ	ɣ
	dic	Dida	ɓ	ɓ
	dic	Dida	ŋʷ	ŋw
	dic	Dida	ɔ	ɔ
	dic	Dida	ɛ	ɛ
	dic	Dida	ɟ	ɟ
	dic	Dida	a	a
	dic	Dida	c	c
	dic	Dida	b	b
	dic	Dida	β	β			inserted from AA, not in Chanard
	dic	Dida	e	e
	dic	Dida	d	d
	dic	Dida	ɡ	ɡ
	dic	Dida	f	f
	dic	Dida	i	i
	dic	Dida	k	k
	dic	Dida	j	j
	dic	Dida	m	m
	dic	Dida	l	l
	dic	Dida	o	o
	dic	Dida	n	n
	dic	Dida	p	p
	dic	Dida	s	s
	dic	Dida	ɲ	ɲ
	dic	Dida	u	u
	dic	Dida	t	t
	dic	Dida	w	w
	dic	Dida	v	v
	dic	Dida	z	z
	dic	Dida	iː	iː			all vowels have a phonemic long counterpart
	dic	Dida	ɪː	ɪː			all vowels have a phonemic long counterpart
	dic	Dida	eː	eː			all vowels have a phonemic long counterpart
	dic	Dida	ɛː	ɛː			all vowels have a phonemic long counterpart
	dic	Dida	uː	uː			all vowels have a phonemic long counterpart
	dic	Dida	ʊː	ʊː			all vowels have a phonemic long counterpart
	dic	Dida	oː	oː			all vowels have a phonemic long counterpart
	dic	Dida	ɔː	ɔː			all vowels have a phonemic long counterpart
	dic	Dida	aː	aː			all vowels have a phonemic long counterpart
	dic	Dida	ĩ	ĩ			all short vowels have a phonemic nasal counterpart
	dic	Dida	ɪ̃	ɪ̃			all short vowels have a phonemic nasal counterpart
	dic	Dida	ẽ	ẽ			all short vowels have a phonemic nasal counterpart
	dic	Dida	ɛ̃	ɛ̃			all short vowels have a phonemic nasal counterpart
	dic	Dida	ũ	ũ			all short vowels have a phonemic nasal counterpart
	dic	Dida	ʊ̃	ʊ̃̃			all short vowels have a phonemic nasal counterpart
	dic	Dida	õ	õ			all short vowels have a phonemic nasal counterpart
	dic	Dida	ɔ̃	ɔ̃			all short vowels have a phonemic nasal counterpart
	dic	Dida	ã	ã			all short vowels have a phonemic nasal counterpart

696	dyu	Dioula	˦	˦			marked on first syllable only
	dyu	Dioula	˨	˨			unmarked
	dyu	Dioula	ɡb	ɡb
	dyu	Dioula	kp	kp
	dyu	Dioula	t̠ʃ	ʧ
	dyu	Dioula	r	r
	dyu	Dioula	ŋ	ŋ
	dyu	Dioula	ɔ	ɔ
	dyu	Dioula	d̠ʒ	ʤ
	dyu	Dioula	ɛ	ɛ
	dyu	Dioula	a	a
	dyu	Dioula	b	b
	dyu	Dioula	e	e
	dyu	Dioula	d	d
	dyu	Dioula	ɡ	ɡ
	dyu	Dioula	f	f
	dyu	Dioula	i	i
	dyu	Dioula	h	h
	dyu	Dioula	k	k
	dyu	Dioula	j	j
	dyu	Dioula	m	m
	dyu	Dioula	l	l
	dyu	Dioula	o	o
	dyu	Dioula	n	n
	dyu	Dioula	p	p
	dyu	Dioula	s	s
	dyu	Dioula	ɲ	ɲ
	dyu	Dioula	u	u
	dyu	Dioula	t	t
	dyu	Dioula	w	w
	dyu	Dioula	v	v
	dyu	Dioula	z	z
	dyu	Dioula	ĩ	ĩ			all vowels have a phonemic nasal counterpart
	dyu	Dioula	ẽ	ẽ			all vowels have a phonemic nasal counterpart
	dyu	Dioula	ɛ̃	ɛ̃			all vowels have a phonemic nasal counterpart
	dyu	Dioula	ũ	ũ			all vowels have a phonemic nasal counterpart
	dyu	Dioula	õ	õ			all vowels have a phonemic nasal counterpart
	dyu	Dioula	ɔ̃	ɔ̃			all vowels have a phonemic nasal counterpart
	dyu	Dioula	ã	ã			all vowels have a phonemic nasal counterpart

697	tbz	Ditammari	˦	˦
	tbz	Ditammari	˨	˨
	tbz	Ditammari	˧	˧			unmarked (AA has two unmarked mid tones, but are they phonemic?)
	tbz	Ditammari	t̠ʃ	ʧ				Labialization: pw, bw, tw, dw, cw, kw, mw, nw, fw, sw
	tbz	Ditammari	kp	kp				Palatalization: py, by, ty, dy, cy, my, ny, fy, sy
	tbz	Ditammari	ŋ	ŋ
	tbz	Ditammari	ŋm	ŋm
	tbz	Ditammari	ɔ	ɔ
	tbz	Ditammari	ɛ	ɛ
	tbz	Ditammari	a	a
	tbz	Ditammari	b	b
	tbz	Ditammari	e	e
	tbz	Ditammari	d	d
	tbz	Ditammari	f	f
	tbz	Ditammari	i	i
	tbz	Ditammari	h	h
	tbz	Ditammari	k	k
	tbz	Ditammari	j	j
	tbz	Ditammari	m	m
	tbz	Ditammari	o	o
	tbz	Ditammari	n	n
	tbz	Ditammari	p	p
	tbz	Ditammari	s	s
	tbz	Ditammari	r	r
	tbz	Ditammari	u	u
	tbz	Ditammari	t	t
	tbz	Ditammari	w	w
	tbz	Ditammari	ĩ	ĩ			vowels have a phonemic nasal counterpart except /e/ and /o/
	tbz	Ditammari	ɛ̃	ɛ̃			vowels have a phonemic nasal counterpart except /e/ and /o/
	tbz	Ditammari	ũ	ũ			vowels have a phonemic nasal counterpart except /e/ and /o/
	tbz	Ditammari	ɔ̃	ɔ̃			vowels have a phonemic nasal counterpart except /e/ and /o/
	tbz	Ditammari	ã	ã			vowels have a phonemic nasal counterpart except /e/ and /o/

698	dow	Doayo	˦	˦
	dow	Doayo	˨	˨
	dow	Doayo	˧	˧
	dow	Doayo	˨˧	˨˧
	dow	Doayo	ɡb	ɡb
	dow	Doayo	kp	kp
	dow	Doayo	ŋ	ŋ
	dow	Doayo	ɓ	ɓ
	dow	Doayo	ɔ	ɔ
	dow	Doayo	ɗ	ɗ
	dow	Doayo	ɛ	ɛ
	dow	Doayo	a	a
	dow	Doayo	b	b
	dow	Doayo	e	e
	dow	Doayo	d	d
	dow	Doayo	ɡ	ɡ
	dow	Doayo	f	f
	dow	Doayo	i	i
	dow	Doayo	h	h
	dow	Doayo	k	k
	dow	Doayo	j	j
	dow	Doayo	m	m
	dow	Doayo	l	l
	dow	Doayo	o	o
	dow	Doayo	n	n
	dow	Doayo	p	p
	dow	Doayo	s	s
	dow	Doayo	r	r
	dow	Doayo	u	u
	dow	Doayo	t	t
	dow	Doayo	w	w
	dow	Doayo	v	v
	dow	Doayo	z	z
	dow	Doayo	iː	iː			all short vowels have a phonemic long counterpart
	dow	Doayo	eː	eː			all short vowels have a phonemic long counterpart
