InventoryID	LanguageCode	LanguageName	Phoneme	PhonemeOld	Allophones	AllophonesOld	Notes	NotesTwo
	ajg	Adja (Togo)	b	b
	ajg	Adja (Togo)	e	e
	ajg	Adja (Togo)	d	d
	ajg	Adja (Togo)	ɡ	ɡ
	ajg	Adja (Togo)	f	f
	ajg	Adja (Togo)	i	i
	ajg	Adja (Togo)	h	h
	ajg	Adja (Togo)	k	k
	ajg	Adja (Togo)	j	j
	ajg	Adja (Togo)	m	m
	ajg	Adja (Togo)	o	o
	ajg	Adja (Togo)	n	n
	ajg	Adja (Togo)	s	s
	ajg	Adja (Togo)	ɲ	ɲ
	ajg	Adja (Togo)	u	u
	ajg	Adja (Togo)	t	t
	ajg	Adja (Togo)	w	w
	ajg	Adja (Togo)	v	v
	ajg	Adja (Togo)	z	z
	ajg	Adja (Togo)	ĩ	ĩ			appparently all vowels can be nasalized
	ajg	Adja (Togo)	ẽ	ẽ			appparently all vowels can be nasalized
	ajg	Adja (Togo)	ɛ̃	ɛ̃			appparently all vowels can be nasalized
	ajg	Adja (Togo)	ũ	ũ			appparently all vowels can be nasalized
	ajg	Adja (Togo)	õ	õ			appparently all vowels can be nasalized
	ajg	Adja (Togo)	ɔ̃	ɔ̃			appparently all vowels can be nasalized
	ajg	Adja (Togo)	ã	ã			appparently all vowels can be nasalized

653	mtb	Agni Sanvi	ɪ	ɪ
	mtb	Agni Sanvi	ʊ	ʊ
	mtb	Agni Sanvi	ɡb	ɡb
	mtb	Agni Sanvi	d̠ʒ	ʤ
	mtb	Agni Sanvi	t̠ʃ	ʧ
	mtb	Agni Sanvi	kp	kp
	mtb	Agni Sanvi	ç	ç
	mtb	Agni Sanvi	ŋʷ	ŋw
	mtb	Agni Sanvi	ɔ	ɔ
	mtb	Agni Sanvi	ə	ə				compared to other Agni languagees, ʌ is used
	mtb	Agni Sanvi	ɛ	ɛ
	mtb	Agni Sanvi	b	b
	mtb	Agni Sanvi	e	e
	mtb	Agni Sanvi	d	d
	mtb	Agni Sanvi	ɡ	ɡ
	mtb	Agni Sanvi	f	f	[f]	[f]
	mtb	Agni Sanvi	f	f	[v]	[v]
	mtb	Agni Sanvi	i	i
	mtb	Agni Sanvi	h	h
	mtb	Agni Sanvi	k	k
