LanguageCode	LanguageName	upsidLangNum
mde	MABA	4202
nmu	MAIDU	6708
plt	MALAGASY	2410
mpb	MALAKMALAK	8356
mcu	MAMBILA	4153
mnc	MANCHU	2169
cmn	MANDARIN	2500
mrw	MARANAO	2445
mrt	MARGI	4368
mhr	MARI	2151
mph	MAUNG	8350
mbl	MAXAKALI	6858
maz	MAZAHUA	6717
maq	MAZATEC	6727
mfc	MBA-NE	4160
vmb	MBABARAM	8373
mdd	MBUM	4146
ium	MIEN	2517
mto	MIXE	6715
mig	MIXTEC	6728
mhj	MOGHOL	2174
mjg	MONGUOR	2173
moq	MOR	2429
mor	MORO	4101
mzp	MOVIMA	6860
ign	MOXO	6827
bmr	MUINANE	6806
mzm	MUMUYE	4132
unr	MUNDARI	2300
mwf	MURINHPATHA	8349
mur	MURSI	4214
ncj	NAHUATL	6762
naq	NAMA	4906
stc	NAMBAKAENGO	8626
gld	NANAI	2168
nas	NASIOI	8624
nav	NAVAJO	6104
nbf	NAXI	2525
ndv	NDUT	4149
yrk	NENETS	2156
trg	NEO-ARAMAIC	4355
nep	NEPALI	2023
nrb	NERA	4212
new	NEWARI	2518
nez	NEZ PERCE	6706
nio	NGANASAN	2157
ung	NGARINJIN	8374
wyb	NGIYAMBAA	8372
ngi	NGIZIM	4369
caq	NICOBARESE	2313
nir	NIMBORAN	8604
niv	NIVKH	2700
nhu	NONI	4139
nob	NORWEGIAN	2006
fia	NUBIAN	4206
nuy	NUNGGUBUYU	8353
cbn	NYAH KUR	2315
nyp	NYANGI	4207
nyi	NYIMANG	4227
oca	OCAINA	6805
ogb	OGBIA	4124
ojg	OJIBWA	6750
oru	ORMURI	2025
pac	PACOH	2314
pbb	PAEZ	6804
pwn	PAIWAN	2434
pbh	PANARE	6849
ood	PAPAGO	6736
prk	PARAUK	2309
pst	PASHTO	2014
pay	PAYA	6854
pww	PHLONG	2520
twf	PICURIS	6740
myp	PIRAHA	6802
fwa	PO-AI	2405
pon	POHNPEIAN	2430
pom	POMO	6742
alc	QAWASQAR	6859
quh	QUECHUA	6819
qui	QUILEUTE	6732
rgr	RESIGARO	6838
ron	ROMANIAN	2012
rro	RORO	2420
roo	ROTOKAS	8625
dru	RUKAI	2417
rus	RUSSIAN	2008
rut	RUTUL	2603
snv	SA'BAN	2415
sma	SAAMI	2155
slc	SALIBA	6861
bdl	SAMA	2412
sad	SANDAWE	4902
sag	SANGO	4143
svs	SAVOSAVO	8645
kpz	SEBEI	4209
sed	SEDANG	2304
spl	SELEPET	8607
sel	SELKUP	2164
sef	SENADI	4111
see	SENECA	6754
set	SENTANI	8603
sht	SHASTA	6746
shi	SHILHA	4356
shb	SHIRIANA	6855
shs	SHUSWAP	6778
skd	SIERRA MIWOK	6779
sin	SINHALESE	2020
snn	SIONA	6833
srq	SIRIONO	6829
sqt	SOCOTRI	4354
som	SOMALI	4358
ses	SONGHAI	4200
kjd	SOUTHERN KIWAI	8636
nab	SOUTHERN NAMBIQUARA	6816
spa	SPANISH	2011
kpm	SRE	2310
sue	SUENA	8618
swi	SUI	2403
tbi	TABI	4213
tna	TACANA	6812
tgl	TAGALOG	2414
yue	TAISHAN	2501
tma	TAMA	4210
taj	TAMANG	2507
thv	TAMASHEQ	4357
tpm	TAMPULMA	4112
tqo	TAORIPI	8623
tsz	TARASCAN	6847
yer	TAROK	4121
teh	TEHUELCHE	6821
kkw	TEKE	4127
tel	TELUGU	2902
teq	TEMEIN	4211
tem	TEMNE	4109
ttr	TERA	4375
tet	TETUN	2437
tha	THAI	2400
tca	TICUNA	6831
ctd	TIDDIM CHIN	2513
tgc	TIGAK	2425
tig	TIGRE	4351
tiy	TIRURAY	2431
tiw	TIWI	8351
tpx	TLAPANEC	6772
tli	TLINGIT	6102
jic	TOL	6747
tqw	TONKAWA	6752
top	TOTONAC	6713
tpy	TRUMAI	6865
noo	TSESHAHT	6730
tsi	TSIMSHIAN	6774
tsu	TSOU	2418
tcy	TULU	2906
tun	TUNICA	6758
tur	TURKISH	2158
tyv	TUVA	2165
tzh	TZELTAL	6712
cjh	UPPER CHEHALIS	6773
wnu	USAN	8630
uzn	UZBEK	2175
vam	VANIMO	8640
vie	VIETNAMESE	2303
wgi	WAHGI	8628
wnc	WANTOAT	8615
wap	WAPISHANA	6822
wao	WAPPO	6760
wba	WARAO	6852
wrz	WARAY	8348
wrs	WARIS	8637
mqs	WEST MAKIAN	8647
ant	WESTERN DESERT	8360
wic	WICHITA	6755
wim	WIK-MUNKAN	8358
wit	WINTU	6709
wiy	WIYOT	6753
woi	WOISIKA	8633
wol	WOLOF	4107
nan	XIAMEN	2504
ygr	YAGARIA	8609
yad	YAGUA	6839
sah	YAKUT	2161
ynn	YANA	6745
jao	YANYUWA	8347
yaq	YAQUI	6739
yrb	YAREBA	8621
yva	YAWA	8629
pcc	YAY	2402
yss	YESSAN-MAYO	8632
yii	YIDINY	8370
duj	YOLNGU	8375
yor	YORUBA	4137
yua	YUCATEC	6777
yuc	YUCHI	6757
ycn	YUCUNA	6843
ykg	YUKAGHIR	2172
yul	YULU	4216
ess	YUPIK	6902
zoc	ZOQUE	6711
zul	ZULU	4126
zun	ZUNI	6748
