"LangName"	"LangNum"
"ACHUMAWI"	6744
"YANA"	6745
"SHASTA"	6746
"TOL"	6747
"ZUNI"	6748
"ACOMA"	6749
"OJIBWA"	6750
"TONKAWA"	6752
"WIYOT"	6753
"SENECA"	6754
"WICHITA"	6755
"DAKOTA"	6756
"YUCHI"	6757
"TUNICA"	6758
"ALABAMA"	6759
"WAPPO"	6760
"NAHUATL"	6762
"KAWAIISU"	6763
"AMUZGO"	6770
"BELLA COOLA"	6771
"TLAPANEC"	6772
"UPPER CHEHALIS"	6773
"TSIMSHIAN"	6774
"CADDO"	6775
"HUASTECO"	6776
"YUCATEC"	6777
"SHUSWAP"	6778
"SIERRA MIWOK"	6779
"JACALTEC"	6780
"CHEROKEE"	6781
"KIOWA"	6785
"HIGHLAND CHINANTEC"	6786
"ITONAMA"	6800
"BRIBRI"	6801
"PIRAHA"	6802
"CAYAPA"	6803
"PAEZ"	6804
"OCAINA"	6805
"MUINANE"	6806
"CARIB"	6807
"KAINGANG"	6808
"APINAYE"	6809
"AMAHUACA"	6810
"EPENA PEDEE"	6811
"TACANA"	6812
"ASHUSLAY"	6814
"ABIPON"	6815
"SOUTHERN NAMBIQUARA"	6816
"ARABELA"	6817
"AUCA"	6818
"QUECHUA"	6819
"JAQARU"	6820
"TEHUELCHE"	6821
"WAPISHANA"	6822
"ISLAND CARIB"	6823
"AMUESHA"	6824
"CAMPA"	6825
"GUAJIRO"	6826
"MOXO"	6827
"GUARANI"	6828
"SIRIONO"	6829
"GUAHIBO"	6830
"TICUNA"	6831
"BARASANO"	6832
"SIONA"	6833
"JIVARO"	6835
"COFAN"	6836
"ARAUCANIAN"	6837
"RESIGARO"	6838
"YAGUA"	6839
"CAYUVAVA"	6840
"HUARI"	6841
"HIXKARYANA"	6842
"YUCUNA"	6843
"JEBERO"	6844
"IRANXE"	6845
"CUBEO"	6846
"TARASCAN"	6847
"JAPRERIA"	6848
"PANARE"	6849
"BORORO"	6850
"ANDOKE"	6851
"WARAO"	6852
"AKAWAIO"	6853
"PAYA"	6854
"SHIRIANA"	6855
"BAKAIRI"	6856
"CUNA"	6857
"MAXAKALI"	6858
"QAWASQAR"	6859
"MOVIMA"	6860
"SALIBA"	6861
"GUAMBIANO"	6862
"CAMSA"	6863
"CACUA"	6864
"TRUMAI"	6865
"ACHE"	6866
"IATE"	6870
"ALEUT"	6900
"INUIT"	6901
"YUPIK"	6902
"GARAWA"	8345
"YANYUWA"	8347
"WARAY"	8348
"MURINHPATHA"	8349
"MAUNG"	8350
"TIWI"	8351
"BURARRA"	8352
"NUNGGUBUYU"	8353
"ALAWA"	8354
"MALAKMALAK"	8356
"BARDI"	8357
"WIK-MUNKAN"	8358
"WESTERN DESERT"	8360
"ARRERNTE"	8362
"GUGU-YALANDYI"	8364
"KALA LAGAW YA"	8365
"DIYARI"	8367
"BANDJALANG"	8368
"KALKATUNGU"	8369
"YIDINY"	8370
"DYIRBAL"	8371
"NGIYAMBAA"	8372
"MBABARAM"	8373
"NGARINJIN"	8374
"YOLNGU"	8375
"ANDAMANESE"	8600
"ASMAT"	8601
"KWOMA"	8602
"SENTANI"	8603
"NIMBORAN"	8604
"IWAM"	8605
"SELEPET"	8607
"GADSUP"	8608
"YAGARIA"	8609
"KEWA"	8610
"CHUAVE"	8611
"DANI"	8613
"WANTOAT"	8615
"DADIBI"	8616
"FASU"	8617
"SUENA"	8618
"DERA"	8619
"KUNIMAIPA"	8620
"YAREBA"	8621
"KOIARI"	8622
"TAORIPI"	8623
"NASIOI"	8624
"ROTOKAS"	8625
"NAMBAKAENGO"	8626
"ANGAATIHA"	8627
"WAHGI"	8628
"YAWA"	8629
"USAN"	8630
"BAINING"	8631
"YESSAN-MAYO"	8632
"WOISIKA"	8633
"ALAMBLAK"	8634
"AMELE"	8635
"SOUTHERN KIWAI"	8636
"WARIS"	8637
"VANIMO"	8640
"SAVOSAVO"	8645
"WEST MAKIAN"	8647
"EKARI"	8650
