"InventoryID","ISO6393","Glottocode","LanguageName","Source"
151,"lgg","lugb1240","Logbara","spa"
152,"fia","nobi1240","Mahas-Fiyadikka","spa"
153,"luo","luok1236","Luo","spa"
154,"mas","masa1300","Maasai","spa"
155,"naq","nama1265","Nama","spa"
156,"gle","iris1253","Irish Gaelic","spa"
157,"bre","bret1244","Breton","spa"
158,"isl","icel1247","Icelandic","spa"
159,"nob","norw1259","Norwegian","spa"
160,"eng","stan1293","English","spa"
161,"deu","stan1295","German","spa"
162,"fra","stan1290","French","spa"
163,"por","port1283","Portuguese","spa"
164,"spa","stan1288","Spanish","spa"
165,"ron","roma1327","Rumanian","spa"
166,"rus","russ1263","Russian","spa"
167,"bul","bulg1262","Bulgarian","spa"
168,"lit","lith1251","Lithuanian","spa"
169,"als","tosk1239","Albanian","spa"
170,"ell","mode1248","Modern Greek","spa"
171,"hye","nucl1235","Armenian","spa"
172,"pes","west2369","Persian","spa"
173,"pst","cent1973","Pashto","spa"
174,"kas","kash1277","Kashimiri","spa"
175,"pan","panj1256","Punjabi","spa"
176,"hin","hind1269","Hindi-Urdu","spa"
177,"ben","beng1280","Bengali","spa"
178,"sin","sinh1246","Sinhalese","spa"
179,"eus","basq1248","Basque","spa"
180,"fin","finn1318","Finnish","spa"
181,"mhr","east2328","Cheremis","spa"
182,"kpv","komi1268","Komi","spa"
183,"hun","hung1274","Hungarian","spa"
184,"kca","khan1273","Ostyak","spa"
185,"yrk","nene1249","Yurak","spa"
186,"tur","nucl1301","Turkish","spa"
187,"azj","nort2697","Azerbaijani","spa"
188,"kir","kirg1245","Kirghiz","spa"
189,"chv","chuv1255","Chuvash","spa"
190,"sah","yaku1245","Yakut","spa"
191,"khk","halh1238","Khalkha","spa"
192,"eve","even1260","Even","spa"
193,"ykg","nort2745","Yukaghir","spa"
194,"niv","gily1242","Gilyak","spa"
195,"ckt","chuk1273","Chukchi","spa"
196,"ain","ainu1240","Ainu","spa"
197,"jpn","nucl1643","Japanese","spa"
198,"aal","afad1236","KOTOKO","upsid"
199,"acv","achu1247","ACHUMAWI","upsid"
200,"adz","adze1240","ADZERA","upsid"
201,"aer","east2379","ARRERNTE","upsid"
202,"aey","amel1241","AMELE","upsid"
203,"agm","anga1290","ANGAATIHA","upsid"
204,"agq","aghe1239","AGHEM","upsid"
205,"ahp","apro1235","AIZI","upsid"
206,"aht","ahte1237","AHTNA","upsid"
207,"ain","ainu1240","AINU","upsid"
208,"aka","akan1250","AKAN","upsid"
209,"ake","akaw1239","AKAWAIO","upsid"
210,"akz","alab1237","ALABAMA","upsid"
211,"alc","qawa1238","QAWASQAR","upsid"
212,"ald","alla1248","ALLADIAN","upsid"
213,"ale","aleu1260","ALEUT","upsid"
214,"alh","alaw1244","ALAWA","upsid"
215,"als","tosk1239","ALBANIAN","upsid"
216,"amc","amah1246","AMAHUACA","upsid"
217,"ame","yane1238","AMUESHA","upsid"
218,"amf","hame1242","HAMER","upsid"
219,"amh","amha1245","AMHARIC","upsid"
220,"amo","amoo1242","AMO","upsid"
221,"amp","alam1246","ALAMBLAK","upsid"
222,"amu","guer1243","AMUZGO","upsid"
223,"anc","ngas1240","ANGAS","upsid"
224,"ano","ando1256","ANDOKE","upsid"
225,"ant","anta1253","WESTERN DESERT","upsid"
226,"apn","apin1244","APINAYE","upsid"
227,"apq","apuc1241","ANDAMANESE","upsid"
228,"aqc","arch1244","ARCHI","upsid"
229,"arl","arab1268","ARABELA","upsid"
230,"arn","mapu1245","ARAUCANIAN","upsid"
231,"arz","egyp1253","ARABIC","upsid"
232,"auc","waor1240","AUCA","upsid"
233,"ava","avar1256","AVAR","upsid"
