InventoryID,Filename,URI
81,nez_SPA1979_phon.pdf,https://archive.org/details/nez_SPA1979_phon
82,nmu_SPA1979_phon.pdf,https://archive.org/details/nmu_SPA1979_phon
83,zoc_SPA1979_phon.pdf,https://archive.org/details/zoc_SPA1979_phon
84,top_SPA1979_phon.pdf,https://archive.org/details/top_SPA1979_phon
85,chf_SPA1979_phon.pdf,https://archive.org/details/chf_SPA1979_phon
86,tzh_SPA1979_phon.pdf,https://archive.org/details/tzh_SPA1979_phon
87,tsz_SPA1979_phon.pdf,https://archive.org/details/tsz_SPA1979_phon
88,kyh_SPA1979_phon.pdf,https://archive.org/details/kyh_SPA1979_phon
89,pom_SPA1979_phon.pdf,https://archive.org/details/pom_SPA1979_phon
90,dih_SPA1979_phon.pdf,https://archive.org/details/dih_SPA1979_phon
91,zun_SPA1979_phon.pdf,https://archive.org/details/zun_SPA1979_phon
92,tix_SPA1979_phon.pdf,https://archive.org/details/tix_SPA1979_phon
93,tew_SPA1979_phon.pdf,https://archive.org/details/tew_SPA1979_phon
94,lui_SPA1979_phon.pdf,https://archive.org/details/lui_SPA1979_phon
95,hop_SPA1979_phon.pdf,https://archive.org/details/hop_SPA1979_phon
96,ood_SPA1979_phon.pdf,https://archive.org/details/ood_SPA1979_phon
97,ote_SPA1979_phon.pdf,https://archive.org/details/ote_SPA1979_phon
98,maz_SPA1979_phon.pdf,https://archive.org/details/maz_SPA1979_phon
99,maq_SPA1979_phon.pdf,https://archive.org/details/maq_SPA1979_phon
100,mig_SPA1979_phon.pdf,https://archive.org/details/mig_SPA1979_phon
101,cbi_SPA1979_phon.pdf,https://archive.org/details/cbi_SPA1979_phon
102,pbb_SPA1979_phon.pdf,https://archive.org/details/pbb_SPA1979_phon
103,ito_SPA1979_phon.pdf,https://archive.org/details/ito_SPA1979_phon
104,quh_SPA1979_phon.pdf,https://archive.org/details/quh_SPA1979_phon
105,ayr_SPA1979_phon.pdf,https://archive.org/details/ayr_SPA1979_phon
106,arn_SPA1979_phon.pdf,https://archive.org/details/arn_SPA1979_phon
107,crb_SPA1979_phon.pdf,https://archive.org/details/crb_SPA1979_phon
108,wap_SPA1979_phon.pdf,https://archive.org/details/wap_SPA1979_phon
109,guc_SPA1979_phon.pdf,https://archive.org/details/guc_SPA1979_phon
110,cni_SPA1979_phon.pdf,https://archive.org/details/cni_SPA1979_phon
111,ign_SPA1979_phon.pdf,https://archive.org/details/ign_SPA1979_phon
112,ame_SPA1979_phon.pdf,https://archive.org/details/ame_SPA1979_phon
113,ary_SPA1979_phon.pdf,https://archive.org/details/jiv_SPA1979_phon
114,mlt_SPA1979_phon.pdf,https://archive.org/details/bao_SPA1979_phon
115,tca_SPA1979_phon.pdf,https://archive.org/details/tca_SPA1979_phon
116,car_SPA1979_phon.pdf,https://archive.org/details/car_SPA1979_phon
117,oca_SPA1979_phon.pdf,https://archive.org/details/oca_SPA1979_phon
118,srq_SPA1979_phon.pdf,https://archive.org/details/srq_SPA1979_phon
119,gug_SPA1979_phon.pdf,https://archive.org/details/gug_SPA1979_phon
120,amc_SPA1979_phon.pdf,https://archive.org/details/amc_SPA1979_phon
121,cao_SPA1979_phon.pdf,https://archive.org/details/cao_SPA1979_phon
122,apn_SPA1979_phon.pdf,https://archive.org/details/apn_SPA1979_phon
123,rif_SPA1979_phon.pdf,https://archive.org/details/rif_SPA1979_phon
124,hau_SPA1979_phon.pdf,https://archive.org/details/hau_SPA1979_phon
125,anc_SPA1979_phon.pdf,https://archive.org/details/anc_SPA1979_phon
126,mrt_SPA1979_phon.pdf,https://archive.org/details/mrt_SPA1979_phon
127,som_SPA1979_phon.pdf,https://archive.org/details/som_SPA1979_phon
128,awn_SPA1979_phon.pdf,https://archive.org/details/awn_SPA1979_phon
129,irk_SPA1979_phon.pdf,https://archive.org/details/irk_SPA1979_phon
130,tig_SPA1979_phon.pdf,https://archive.org/details/tig_SPA1979_phon
131,amh_SPA1979_phon.pdf,https://archive.org/details/amh_SPA1979_phon
132,arz_SPA1979_phon.pdf,https://archive.org/details/arz_SPA1979_phon
133,ary_SPA1979_phon.pdf,https://archive.org/details/ary_SPA1979_phon
134,mlt_SPA1979_phon.pdf,https://archive.org/details/mlt_SPA1979_phon
135,heb_SPA1979_phon.pdf,https://archive.org/details/heb_SPA1979_phon
136,xtc_SPA1979_phon.pdf,https://archive.org/details/xtc_SPA1979_phon
137,xpe_SPA1979_phon.pdf,https://archive.org/details/xpe_SPA1979_phon
138,wol_SPA1979_phon.pdf,https://archive.org/details/wol_SPA1979_phon
139,dag_SPA1979_phon.pdf,https://archive.org/details/dag_SPA1979_phon
140,aka_SPA1979_phon.pdf,https://archive.org/details/aka_SPA1979_phon
141,gaa_SPA1979_phon.pdf,https://archive.org/details/gaa_SPA1979_phon
142,ewe_SPA1979_phon.pdf,https://archive.org/details/ewe_SPA1979_phon
143,ibo_SPA1979_phon.pdf,https://archive.org/details/ibo_SPA1979_phon
144,beq_SPA1979_phon.pdf,https://archive.org/details/beq_SPA1979_phon
145,swh_SPA1979_phon.pdf,https://archive.org/details/swh_SPA1979_phon
146,lue_SPA1979_phon.pdf,https://archive.org/details/lue_SPA1979_phon
147,zul_SPA1979_phon.pdf,https://archive.org/details/zul_SPA1979_phon
148,gbp_SPA1979_phon.pdf,https://archive.org/details/gbp_SPA1979_phon
149,ses_SPA1979_phon.pdf,https://archive.org/details/ses_SPA1979_phon
150,knc_SPA1979_phon.pdf,https://archive.org/details/knc_SPA1979_phon
151,lgg-SPA1979_phon.pdf,NA
152,fia_SPA1979_phon.pdf,https://archive.org/details/fia_SPA1979_phon
153,luo_SPA1979_phon.pdf,https://archive.org/details/luo_SPA1979_phon
154,mas_SPA1979_phon.pdf,https://archive.org/details/mas_SPA1979_phon
155,naq_SPA1979_phon.pdf,https://archive.org/details/naq_SPA1979_phon
156,gle_SPA1979_phon.pdf,https://archive.org/details/gle_SPA1979_phon
157,bre_SPA1979_phon.pdf,https://archive.org/details/bre_SPA1979_phon
158,isl_SPA1979_phon.pdf,https://archive.org/details/isl_SPA1979_phon
159,nob_SPA1979_phon.pdf,https://archive.org/details/nob_SPA1979_phon
160,eng_SPA1979_phon.pdf,https://archive.org/details/eng_SPA1979_phon
161,deu_SPA1979_phon.pdf,https://archive.org/details/deu_SPA1979_phon
162,fra_SPA1979_phon.pdf,https://archive.org/details/fra_SPA1979_phon
163,por_SPA1979_phon.pdf,https://archive.org/details/por_SPA1979_phon
164,spa_SPA1979_phon.pdf,https://archive.org/details/spa_SPA1979_phon
165,ron_SPA1979_phon.pdf,https://archive.org/details/ron_SPA1979_phon
166,rus_SPA1979_phon.pdf,https://archive.org/details/rus_SPA1979_phon
167,bul_SPA1979_phon.pdf,https://archive.org/details/bul_SPA1979_phon
168,lit_SPA1979_phon.pdf,https://archive.org/details/lit_SPA1979_phon
169,sqi_SPA1979_phon.pdf,https://archive.org/details/sqi_SPA1979_phon
170,ell_SPA1979_phon.pdf,https://archive.org/details/ell_SPA1979_phon
171,hye_SPA1979_phon.pdf,https://archive.org/details/hye_SPA1979_phon
172,pes_SPA1979_phon.pdf,https://archive.org/details/pes_SPA1979_phon
173,pst_SPA1979_phon.pdf,https://archive.org/details/pst_SPA1979_phon
174,kas_SPA1979_phon.pdf,https://archive.org/details/kas_SPA1979_phon
175,pan_SPA1979_phon.pdf,https://archive.org/details/pan_SPA1979_phon
176,hin_SPA1979_phon.pdf,https://archive.org/details/hin_SPA1979_phon
177,ben_SPA1979_phon.pdf,https://archive.org/details/ben_SPA1979_phon
178,sin_SPA1979_phon.pdf,https://archive.org/details/sin_SPA1979_phon
179,eus_SPA1979_phon.pdf,https://archive.org/details/eus_SPA1979_phon
180,fin_SPA1979_phon.pdf,https://archive.org/details/fin_SPA1979_phon
181,mhr_SPA1979_phon.pdf,https://archive.org/details/mhr_SPA1979_phon
182,kpv_SPA1979_phon.pdf,https://archive.org/details/kpv_SPA1979_phon
183,hun_SPA1979_phon.pdf,https://archive.org/details/hun_SPA1979_phon
184,kca_SPA1979_phon.pdf,https://archive.org/details/kca_SPA1979_phon
185,yrk_SPA1979_phon.pdf,https://archive.org/details/yrk_SPA1979_phon
186,tur_SPA1979_phon.pdf,https://archive.org/details/tur_SPA1979_phon
187,aze_SPA1979_phon.pdf,https://archive.org/details/aze_SPA1979_phon
188,kir_SPA1979_phon.pdf,https://archive.org/details/kir_SPA1979_phon
189,chv_SPA1979_phon.pdf,https://archive.org/details/chv_SPA1979_phon
190,sah_SPA1979_phon.pdf,https://archive.org/details/sah_SPA1979_phon
191,khk_SPA1979_phon.pdf,https://archive.org/details/khk_SPA1979_phon
192,eve_SPA1979_phon.pdf,https://archive.org/details/eve_SPA1979_phon
193,ykg_SPA1979_phon.pdf,https://archive.org/details/ykg_SPA1979_phon
194,niv_SPA1979_phon.pdf,https://archive.org/details/niv_SPA1979_phon
195,ckt_SPA1979_phon.pdf,https://archive.org/details/ckt_SPA1979_phon
196,ain_SPA1979_phon.pdf,NA
197,jpn_SPA1979_phon.pdf,https://archive.org/details/jpn_SPA1979_phon
198,NA,http://web.phonetik.uni-frankfurt.de/L/L4373.html
199,NA,http://web.phonetik.uni-frankfurt.de/L/L6744.html
200,NA,http://web.phonetik.uni-frankfurt.de/L/L2419.html
201,NA,http://web.phonetik.uni-frankfurt.de/L/L8362.html
202,NA,http://web.phonetik.uni-frankfurt.de/L/L8635.html
203,NA,http://web.phonetik.uni-frankfurt.de/L/L8627.html
204,NA,http://web.phonetik.uni-frankfurt.de/L/L4134.html
205,NA,http://web.phonetik.uni-frankfurt.de/L/L4131.html
206,NA,http://web.phonetik.uni-frankfurt.de/L/L6108.html
207,NA,http://web.phonetik.uni-frankfurt.de/L/L2140.html
208,NA,http://web.phonetik.uni-frankfurt.de/L/L4115.html
209,NA,http://web.phonetik.uni-frankfurt.de/L/L6853.html
210,NA,http://web.phonetik.uni-frankfurt.de/L/L6759.html
211,NA,http://web.phonetik.uni-frankfurt.de/L/L6859.html
212,NA,http://web.phonetik.uni-frankfurt.de/L/L4152.html
213,NA,http://web.phonetik.uni-frankfurt.de/L/L6900.html
214,NA,http://web.phonetik.uni-frankfurt.de/L/L8354.html
215,NA,http://web.phonetik.uni-frankfurt.de/L/L2021.html
216,NA,http://web.phonetik.uni-frankfurt.de/L/L6810.html
217,NA,http://web.phonetik.uni-frankfurt.de/L/L6824.html
218,NA,http://web.phonetik.uni-frankfurt.de/L/L4365.html
219,NA,http://web.phonetik.uni-frankfurt.de/L/L4352.html
220,NA,http://web.phonetik.uni-frankfurt.de/L/L4122.html
221,NA,http://web.phonetik.uni-frankfurt.de/L/L8634.html
222,NA,http://web.phonetik.uni-frankfurt.de/L/L6770.html
223,NA,http://web.phonetik.uni-frankfurt.de/L/L4367.html
224,NA,http://web.phonetik.uni-frankfurt.de/L/L6851.html
225,NA,http://web.phonetik.uni-frankfurt.de/L/L8360.html
226,NA,http://web.phonetik.uni-frankfurt.de/L/L6809.html
227,NA,http://web.phonetik.uni-frankfurt.de/L/L8600.html
228,NA,http://web.phonetik.uni-frankfurt.de/L/L2605.html
229,NA,http://web.phonetik.uni-frankfurt.de/L/L6817.html
230,NA,http://web.phonetik.uni-frankfurt.de/L/L6837.html
231,NA,http://web.phonetik.uni-frankfurt.de/L/L4350.html
232,NA,http://web.phonetik.uni-frankfurt.de/L/L6818.html
233,NA,http://web.phonetik.uni-frankfurt.de/L/L2606.html
234,NA,http://web.phonetik.uni-frankfurt.de/L/L4359.html
235,NA,http://web.phonetik.uni-frankfurt.de/L/L6815.html
236,NA,http://web.phonetik.uni-frankfurt.de/L/L2159.html
237,NA,http://web.phonetik.uni-frankfurt.de/L/L2163.html
238,NA,http://web.phonetik.uni-frankfurt.de/L/L4105.html
239,NA,http://web.phonetik.uni-frankfurt.de/L/L6832.html
240,NA,http://web.phonetik.uni-frankfurt.de/L/L4113.html
241,NA,http://web.phonetik.uni-frankfurt.de/L/L2413.html
242,NA,http://web.phonetik.uni-frankfurt.de/L/L2604.html
243,NA,http://web.phonetik.uni-frankfurt.de/L/L4138.html
244,NA,http://web.phonetik.uni-frankfurt.de/L/L2506.html
245,NA,http://web.phonetik.uni-frankfurt.de/L/L8357.html
246,NA,http://web.phonetik.uni-frankfurt.de/L/L4136.html
247,NA,http://web.phonetik.uni-frankfurt.de/L/L2412.html
248,NA,http://web.phonetik.uni-frankfurt.de/L/L8368.html
249,NA,http://web.phonetik.uni-frankfurt.de/L/L4361.html
250,NA,http://web.phonetik.uni-frankfurt.de/L/L2017.html
251,NA,http://web.phonetik.uni-frankfurt.de/L/L4123.html
252,NA,http://web.phonetik.uni-frankfurt.de/L/L4144.html
253,NA,http://web.phonetik.uni-frankfurt.de/L/L4104.html
254,NA,http://web.phonetik.uni-frankfurt.de/L/L6856.html
255,NA,http://web.phonetik.uni-frankfurt.de/L/L6771.html
256,NA,http://web.phonetik.uni-frankfurt.de/L/L6806.html
257,NA,http://web.phonetik.uni-frankfurt.de/L/L4120.html
258,NA,http://web.phonetik.uni-frankfurt.de/L/L6850.html
259,NA,http://web.phonetik.uni-frankfurt.de/L/L2311.html
260,NA,http://web.phonetik.uni-frankfurt.de/L/L2002.html
261,NA,http://web.phonetik.uni-frankfurt.de/L/L2917.html
262,NA,http://web.phonetik.uni-frankfurt.de/L/L2316.html
263,NA,http://web.phonetik.uni-frankfurt.de/L/L2515.html
264,NA,http://web.phonetik.uni-frankfurt.de/L/L2715.html
265,NA,http://web.phonetik.uni-frankfurt.de/L/L2009.html
266,NA,http://web.phonetik.uni-frankfurt.de/L/L8352.html
267,NA,http://web.phonetik.uni-frankfurt.de/L/L8631.html
268,NA,http://web.phonetik.uni-frankfurt.de/L/L6801.html
269,NA,http://web.phonetik.uni-frankfurt.de/L/L6775.html
270,NA,http://web.phonetik.uni-frankfurt.de/L/L6814.html
271,NA,http://web.phonetik.uni-frankfurt.de/L/L2313.html
272,NA,http://web.phonetik.uni-frankfurt.de/L/L6807.html
273,NA,http://web.phonetik.uni-frankfurt.de/L/L6803.html
274,NA,http://web.phonetik.uni-frankfurt.de/L/L2315.html
275,NA,http://web.phonetik.uni-frankfurt.de/L/L6864.html
276,NA,http://web.phonetik.uni-frankfurt.de/L/L2505.html
277,NA,http://web.phonetik.uni-frankfurt.de/L/L2416.html
278,NA,http://web.phonetik.uni-frankfurt.de/L/L6106.html
279,NA,http://web.phonetik.uni-frankfurt.de/L/L6786.html
280,NA,http://web.phonetik.uni-frankfurt.de/L/L6781.html
281,NA,http://web.phonetik.uni-frankfurt.de/L/L2160.html
282,NA,http://web.phonetik.uni-frankfurt.de/L/L2411.html
283,NA,http://web.phonetik.uni-frankfurt.de/L/L6773.html
284,NA,http://web.phonetik.uni-frankfurt.de/L/L8611.html
285,NA,http://web.phonetik.uni-frankfurt.de/L/L2708.html
286,NA,http://web.phonetik.uni-frankfurt.de/L/L2500.html
287,NA,http://web.phonetik.uni-frankfurt.de/L/L2432.html
288,NA,http://web.phonetik.uni-frankfurt.de/L/L6825.html
289,NA,http://web.phonetik.uni-frankfurt.de/L/L6836.html
290,NA,http://web.phonetik.uni-frankfurt.de/L/L4145.html
291,NA,http://web.phonetik.uni-frankfurt.de/L/L2519.html
