InventoryID	LanguageCode	LanguageName	upsidLangNum
413	kla	KLAMATH	6707
414	klu	KLAO	4133
415	kmo	KWOMA	8602
416	kmr	KURDISH	2015
417	kna	KANAKURU	4370
418	knc	KANURI	4201
419	knn	KONKANI	2024
420	kor	KOREAN	2170
421	kpk	KPAN	4135
422	kpm	SRE	2310
423	kpv	KOMI	2152
424	kpy	KORYAK	2709
425	kpz	SEBEI	4209
426	kru	KURUKH	2904
427	ksw	KAREN	2516
428	ktg	KALKATUNGU	8369
429	ktz	!XU	4904
430	kun	KUNAMA	4219
431	kup	KUNIMAIPA	8620
432	kvn	CUNA	6857
433	kwd	KWAIO	2433
434	kwk	KWAKW'ALA	6731
435	kyh	KAROK	6741
436	lbc	LAKKIA	2401
437	lbe	LAK	2602
438	lda	DAN	4106
439	lef	LELEMI	4118
440	lgg	LUGBARA	4215
441	lhu	LAHU	2510
442	lit	LITHUANIAN	2007
443	lkt	DAKOTA	6756
444	lme	LAME	4376
445	lui	LUISENO	6737
446	luo	LUO	4205
447	lut	LUSHOOTSEED	6734
448	maq	MAZATEC	6727
449	mas	MAASAI	4204
450	maz	MAZAHUA	6717
451	mbl	MAXAKALI	6858
452	mcu	MAMBILA	4153
453	mdd	MBUM	4146
454	mde	MABA	4202
455	mdx	DIZI	4363
456	mfc	MBA-NE	4160
457	mhj	MOGHOL	2174
458	mhr	MARI	2151
459	mig	MIXTEC	6728
460	mjg	MONGUOR	2173
461	mnc	MANCHU	2169
462	moq	MOR	2429
463	mor	MORO	4101
464	mpb	MALAKMALAK	8356
465	mph	MAUNG	8350
466	mps	DADIBI	8616
467	mqs	WEST MAKIAN	8647
468	mrt	MARGI	4368
469	mrw	MARANAO	2445
470	mto	MIXE	6715
471	mur	MURSI	4214
472	mwf	MURINHPATHA	8349
473	mwp	KALA LAGAW YA	8365
474	mya	BURMESE	2509
475	myp	PIRAHA	6802
476	mzm	MUMUYE	4132
477	mzp	MOVIMA	6860
478	nab	SOUTHERN NAMBIQUARA	6816
479	nan	XIAMEN	2504
480	naq	NAMA	4906
481	nas	NASIOI	8624
482	nav	NAVAJO	6104
483	ncj	NAHUATL	6762
484	ndv	NDUT	4149
485	nep	NEPALI	2023
486	new	NEWARI	2518
487	nez	NEZ PERCE	6706
488	ngi	NGIZIM	4369
489	nhu	NONI	4139
490	nie	LUA	4151
491	nio	NGANASAN	2157
492	nir	NIMBORAN	8604
493	niv	NIVKH	2700
494	njo	AO	2512
495	njz	DAFLA	2508
496	nmu	MAIDU	6708
497	nob	NORWEGIAN	2006
498	nrb	NERA	4212
499	ntu	NAMBAKAENGO	8626
500	nuk	TSESHAHT	6730
501	nut	LUNGCHOW	2406
502	nuy	NUNGGUBUYU	8353
503	nxq	NAXI	2525
504	nyi	NYIMANG	4227
505	nyp	NYANGI	4207
506	oca	OCAINA	6805
507	ogb	OGBIA	4124
508	ojg	OJIBWA	6750
509	ood	PAPAGO	6736
510	oru	ORMURI	2025
511	pac	PACOH	2314
512	pay	PAYA	6854
513	pbb	PAEZ	6804
514	pbh	PANARE	6849
515	pcc	YAY	2402
516	pes	FARSI	2013
517	plt	MALAGASY	2410
518	pom	POMO	6742
519	pon	POHNPEIAN	2430
520	prk	PARAUK	2309
521	pst	PASHTO	2014
522	pwn	PAIWAN	2434
523	pww	PHLONG	2520
524	quh	QUECHUA	6819
525	qui	QUILEUTE	6732
526	rgr	RESIGARO	6838
527	ron	ROMANIAN	2012
528	roo	ROTOKAS	8625
529	rro	RORO	2420
530	rus	RUSSIAN	2008
531	rut	RUTUL	2603
532	sad	SANDAWE	4902
533	sag	SANGO	4143
534	sah	YAKUT	2161
535	sed	SEDANG	2304
536	see	SENECA	6754
537	sef	SENADI	4111
538	sel	SELKUP	2164
539	ses	SONGHAI	4200
540	set	SENTANI	8603
541	shb	SHIRIANA	6855
542	shi	SHILHA	4356
543	shs	SHUSWAP	6778
544	sht	SHASTA	6746
545	sin	SINHALESE	2020
546	sja	EPENA PEDEE	6811
547	skd	SIERRA MIWOK	6779
548	slc	SALIBA	6861
549	sma	SAAMI	2155
550	snn	SIONA	6833
551	snv	SA'BAN	2415
552	som	SOMALI	4358
553	spa	SPANISH	2011
554	spl	SELEPET	8607
555	sqt	SOCOTRI	4354
556	srq	SIRIONO	6829
557	sue	SUENA	8618
558	svs	SAVOSAVO	8645
559	swi	SUI	2403
560	taj	TAMANG	2507
561	tay	ATAYAL	2407
562	tba	HUARI	6841
563	tbi	TABI	4213
564	tca	TICUNA	6831
565	tcy	TULU	2906
566	teh	TEHUELCHE	6821
567	tel	TELUGU	2902
568	tem	TEMNE	4109
569	teq	TEMEIN	4211
