InventoryID	Filename
184	kca_SPA1979_phon.pdf
185	yrk_SPA1979_phon.pdf
186	tur_SPA1979_phon.pdf
187	aze_SPA1979_phon.pdf
188	kir_SPA1979_phon.pdf
189	chv_SPA1979_phon.pdf
190	sah_SPA1979_phon.pdf
191	khk_SPA1979_phon.pdf
192	eve_SPA1979_phon.pdf
194	niv_SPA1979_phon.pdf
195	ckt_SPA1979_phon.pdf
196	ain_SPA1979_phon.pdf
197	jpn_SPA1979_phon.pdf
198	http://web.phonetik.uni-frankfurt.de/L/L4373.html
199	http://web.phonetik.uni-frankfurt.de/L/L6744.html
200	http://web.phonetik.uni-frankfurt.de/L/L2419.html
201	http://web.phonetik.uni-frankfurt.de/L/L8362.html
202	http://web.phonetik.uni-frankfurt.de/L/L8635.html
203	http://web.phonetik.uni-frankfurt.de/L/L8627.html
204	http://web.phonetik.uni-frankfurt.de/L/L4134.html
205	http://web.phonetik.uni-frankfurt.de/L/L4131.html
206	http://web.phonetik.uni-frankfurt.de/L/L6108.html
207	http://web.phonetik.uni-frankfurt.de/L/L2140.html
208	http://web.phonetik.uni-frankfurt.de/L/L4115.html
209	http://web.phonetik.uni-frankfurt.de/L/L6853.html
210	http://web.phonetik.uni-frankfurt.de/L/L6759.html
211	http://web.phonetik.uni-frankfurt.de/L/L6859.html
212	http://web.phonetik.uni-frankfurt.de/L/L4152.html
213	http://web.phonetik.uni-frankfurt.de/L/L6900.html
214	http://web.phonetik.uni-frankfurt.de/L/L8354.html
215	http://web.phonetik.uni-frankfurt.de/L/L2021.html
216	http://web.phonetik.uni-frankfurt.de/L/L6810.html
217	http://web.phonetik.uni-frankfurt.de/L/L6824.html
218	http://web.phonetik.uni-frankfurt.de/L/L4365.html
219	http://web.phonetik.uni-frankfurt.de/L/L4352.html
220	http://web.phonetik.uni-frankfurt.de/L/L4122.html
221	http://web.phonetik.uni-frankfurt.de/L/L8634.html
222	http://web.phonetik.uni-frankfurt.de/L/L6770.html
223	http://web.phonetik.uni-frankfurt.de/L/L4367.html
224	http://web.phonetik.uni-frankfurt.de/L/L6851.html
225	http://web.phonetik.uni-frankfurt.de/L/L8360.html
226	http://web.phonetik.uni-frankfurt.de/L/L6809.html
227	http://web.phonetik.uni-frankfurt.de/L/L8600.html
228	http://web.phonetik.uni-frankfurt.de/L/L2605.html
229	http://web.phonetik.uni-frankfurt.de/L/L6817.html
230	http://web.phonetik.uni-frankfurt.de/L/L6837.html
231	http://web.phonetik.uni-frankfurt.de/L/L4350.html
232	http://web.phonetik.uni-frankfurt.de/L/L6818.html
233	http://web.phonetik.uni-frankfurt.de/L/L2606.html
234	http://web.phonetik.uni-frankfurt.de/L/L4359.html
235	http://web.phonetik.uni-frankfurt.de/L/L6815.html
236	http://web.phonetik.uni-frankfurt.de/L/L2159.html
237	http://web.phonetik.uni-frankfurt.de/L/L2163.html
238	http://web.phonetik.uni-frankfurt.de/L/L4105.html
239	http://web.phonetik.uni-frankfurt.de/L/L6832.html
240	http://web.phonetik.uni-frankfurt.de/L/L4113.html
241	http://web.phonetik.uni-frankfurt.de/L/L2413.html
242	http://web.phonetik.uni-frankfurt.de/L/L2604.html
243	http://web.phonetik.uni-frankfurt.de/L/L4138.html
244	http://web.phonetik.uni-frankfurt.de/L/L2506.html
245	http://web.phonetik.uni-frankfurt.de/L/L8357.html
246	http://web.phonetik.uni-frankfurt.de/L/L4136.html
247	http://web.phonetik.uni-frankfurt.de/L/L2412.html
248	http://web.phonetik.uni-frankfurt.de/L/L8368.html
249	http://web.phonetik.uni-frankfurt.de/L/L4361.html
250	http://web.phonetik.uni-frankfurt.de/L/L2017.html
251	http://web.phonetik.uni-frankfurt.de/L/L4123.html
252	http://web.phonetik.uni-frankfurt.de/L/L4144.html
253	http://web.phonetik.uni-frankfurt.de/L/L4104.html
254	http://web.phonetik.uni-frankfurt.de/L/L6856.html
255	http://web.phonetik.uni-frankfurt.de/L/L6771.html
256	http://web.phonetik.uni-frankfurt.de/L/L6806.html
257	http://web.phonetik.uni-frankfurt.de/L/L4120.html
258	http://web.phonetik.uni-frankfurt.de/L/L6850.html
259	http://web.phonetik.uni-frankfurt.de/L/L2311.html
260	http://web.phonetik.uni-frankfurt.de/L/L2002.html
261	http://web.phonetik.uni-frankfurt.de/L/L2917.html
262	http://web.phonetik.uni-frankfurt.de/L/L2316.html
263	http://web.phonetik.uni-frankfurt.de/L/L2515.html
264	http://web.phonetik.uni-frankfurt.de/L/L2715.html
265	http://web.phonetik.uni-frankfurt.de/L/L2009.html
266	http://web.phonetik.uni-frankfurt.de/L/L8352.html
267	http://web.phonetik.uni-frankfurt.de/L/L8631.html
268	http://web.phonetik.uni-frankfurt.de/L/L6801.html
269	http://web.phonetik.uni-frankfurt.de/L/L6775.html
270	http://web.phonetik.uni-frankfurt.de/L/L6814.html
271	http://web.phonetik.uni-frankfurt.de/L/L2313.html
272	http://web.phonetik.uni-frankfurt.de/L/L6807.html
273	http://web.phonetik.uni-frankfurt.de/L/L6803.html
274	http://web.phonetik.uni-frankfurt.de/L/L2315.html
275	http://web.phonetik.uni-frankfurt.de/L/L6864.html
276	http://web.phonetik.uni-frankfurt.de/L/L2505.html
